GEO_ID,GEO_ID_2,MSA_NAME,POPGROUP.id,POPGROUP.display-label,TOT_POP
310M200US10180,10180,Abilene TX Metro Area,1,Total population,167945
310M200US10420,10420,Akron OH Metro Area,1,Total population,703744
310M200US10500,10500,Albany GA Metro Area,1,Total population,155917
310M200US10540,10540,Albany OR Metro Area,1,Total population,118971
310M200US10580,10580,Albany-Schenectady-Troy NY Metro Area,1,Total population,877846
310M200US10740,10740,Albuquerque NM Metro Area,1,Total population,902731
310M200US10780,10780,Alexandria LA Metro Area,1,Total population,154587
310M200US10900,10900,Allentown-Bethlehem-Easton PA-NJ Metro Area,1,Total population,828232
310M200US11020,11020,Altoona PA Metro Area,1,Total population,126448
310M200US11100,11100,Amarillo TX Metro Area,1,Total population,259216
310M200US11180,11180,Ames IA Metro Area,1,Total population,93586
310M200US11260,11260,Anchorage AK Metro Area,1,Total population,395285
310M200US11460,11460,Ann Arbor MI Metro Area,1,Total population,354092
310M200US11500,11500,Anniston-Oxford-Jacksonville AL Metro Area,1,Total population,116648
310M200US11540,11540,Appleton WI Metro Area,1,Total population,230108
310M200US11700,11700,Asheville NC Metro Area,1,Total population,437252
310M200US12020,12020,Athens-Clarke County GA Metro Area,1,Total population,198225
310M200US12060,12060,Atlanta-Sandy Springs-Roswell GA Metro Area,1,Total population,5535837
310M200US12100,12100,Atlantic City-Hammonton NJ Metro Area,1,Total population,275376
310M200US12220,12220,Auburn-Opelika AL Metro Area,1,Total population,150982
310M200US12260,12260,Augusta-Richmond County GA-SC Metro Area,1,Total population,580178
310M200US12420,12420,Austin-Round Rock TX Metro Area,1,Total population,1889094
310M200US12540,12540,Bakersfield CA Metro Area,1,Total population,865736
310M200US12580,12580,Baltimore-Columbia-Towson MD Metro Area,1,Total population,2769818
310M200US12620,12620,Bangor ME Metro Area,1,Total population,153437
310M200US12700,12700,Barnstable Town MA Metro Area,1,Total population,214766
310M200US12940,12940,Baton Rouge LA Metro Area,1,Total population,819861
310M200US12980,12980,Battle Creek MI Metro Area,1,Total population,134790
310M200US13020,13020,Bay City MI Metro Area,1,Total population,106698
310M200US13140,13140,Beaumont-Port Arthur TX Metro Area,1,Total population,405695
310M200US13220,13220,Beckley WV Metro Area,1,Total population,124027
310M200US13380,13380,Bellingham WA Metro Area,1,Total population,207100
310M200US13460,13460,Bend-Redmond OR Metro Area,1,Total population,166622
310M200US13740,13740,Billings MT Metro Area,1,Total population,164716
