GEO_ID,GEO_ID_2,STATE,ABBV,TOT_POP
0400000US01,1,Alabama,AL,4830620
0400000US02,2,Alaska,AK,733375
0400000US04,3,Arizona,AZ,6641928
0400000US05,4,Arkansas,AR,2958208
0400000US06,5,California,CA,38421464
0400000US08,6,Colorado,CO,5278906
0400000US09,7,Connecticut,CT,3593222
0400000US10,8,Delaware,DE,926454
0400000US11,9,District of Columbia,DC,647484
0400000US12,10,Florida,FL,19645772
0400000US13,11,Georgia,GA,10006693
0400000US15,12,Hawaii,HI,1406299
0400000US16,13,Idaho,ID,1616547
0400000US17,14,Illinois,IL,12873761
0400000US18,15,Indiana,IN,6568645
0400000US19,16,Iowa,IA,3093526
0400000US20,17,Kansas,KS,2892987
0400000US21,18,Kentucky,KY,4397353
0400000US22,19,Louisiana,LA,4625253
0400000US23,20,Maine,ME,1329100
0400000US24,21,Maryland,MD,5930538
0400000US25,22,Massachusetts,MA,6705586
0400000US26,23,Michigan,MI,9900571
0400000US27,24,Minnesota,MN,5419171
0400000US28,25,Mississippi,MS,2988081
0400000US29,26,Missouri,MO,6045448
0400000US30,27,Montana,MT,1014699
0400000US31,28,Nebraska,NE,1869365
0400000US32,29,Nevada,NV,2798636
0400000US33,30,New Hampshire,NH,1324201
0400000US34,31,New Jersey,NJ,8904413
0400000US35,32,New Mexico,NM,2084117
0400000US36,33,New York,NY,19673174
0400000US37,34,North Carolina,NC,9845333
0400000US38,35,North Dakota,ND,721640
0400000US39,36,Ohio,OH,11575977
0400000US40,37,Oklahoma,OK,3849733
0400000US41,38,Oregon,OR,3939233
0400000US42,39,Pennsylvania,PA,12779559
0400000US44,40,Rhode Island,RI,1053661
0400000US45,41,South Carolina,SC,4777576
0400000US46,42,South Dakota,SD,843190
0400000US47,43,Tennessee,TN,6499615
0400000US48,44,Texas,TX,26538614
0400000US49,45,Utah,UT,2903379
0400000US50,46,Vermont,VT,626604
0400000US51,47,Virginia,VA,8256630
0400000US53,48,Washington,WA,6985464
0400000US54,49,West Virginia,WV,1851420
0400000US55,50,Wisconsin,WI,5742117
0400000US56,51,Wyoming,WY,579679
