GEO_ID,GEO.id2,MSA_NAME,TOT_POP
310M300US10180,10180,"Abilene, TX Metro Area",168774
310M300US10420,10420,"Akron, OH Metro Area",703168
310M300US10500,10500,"Albany, GA Metro Area",154830
310M300US10540,10540,"Albany, OR Metro Area",119862
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",879291
310M300US10740,10740,"Albuquerque, NM Metro Area",904486
310M300US10780,10780,"Alexandria, LA Metro Area",154745
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",830737
310M300US11020,11020,"Altoona, PA Metro Area",125917
310M300US11100,11100,"Amarillo, TX Metro Area",260495
310M300US11180,11180,"Ames, IA Metro Area",94834
310M300US11260,11260,"Anchorage, AK Metro Area",398000
310M300US11460,11460,"Ann Arbor, MI Metro Area",358082
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",115883
310M300US11540,11540,"Appleton, WI Metro Area",231452
310M300US11700,11700,"Asheville, NC Metro Area",441724
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",200213
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5612777
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",274026
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",153947
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",584964
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",1942615
310M300US12540,12540,"Bakersfield, CA Metro Area",871337
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2780873
310M300US12620,12620,"Bangor, ME Metro Area",152978
310M300US12700,12700,"Barnstable Town, MA Metro Area",214703
310M300US12940,12940,"Baton Rouge, LA Metro Area",824667
310M300US12980,12980,"Battle Creek, MI Metro Area",134691
310M300US13020,13020,"Bay City, MI Metro Area",106107
310M300US13140,13140,"Beaumont-Port Arthur, TX Metro Area",406506
310M300US13220,13220,"Beckley, WV Metro Area",123243
310M300US13380,13380,"Bellingham, WA Metro Area",209729
310M300US13460,13460,"Bend-Redmond, OR Metro Area",170813
310M300US13740,13740,"Billings, MT Metro Area",166414
310M300US13780,13780,"Binghamton, NY Metro Area",247030
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",1141309
310M300US13900,13900,"Bismarck, ND Metro Area",126392
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",181288
310M300US14010,14010,"Bloomington, IL Metro Area",189576
310M300US14020,14020,"Bloomington, IN Metro Area",164330
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",85176
310M300US14260,14260,"Boise City, ID Metro Area",663680
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4728844
310M300US14500,14500,"Boulder, CO Metro Area",313961
310M300US14540,14540,"Bowling Green, KY Metro Area",166401
310M300US14740,14740,"Bremerton-Silverdale, WA Metro Area",257488
310M300US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",941618
310M300US15180,15180,"Brownsville-Harlingen, TX Metro Area",418785
310M300US15260,15260,"Brunswick, GA Metro Area",114967
310M300US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135503
310M300US15500,15500,"Burlington, NC Metro Area",156372
310M300US15540,15540,"Burlington-South Burlington, VT Metro Area",216080
310M300US15680,15680,"California-Lexington Park, MD Metro Area",110675
310M300US15940,15940,"Canton-Massillon, OH Metro Area",402870
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",680970
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",97422
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",126524
310M300US16180,16180,"Carson City, NV Metro Area",54412
310M300US16220,16220,"Casper, WY Metro Area",80871
310M300US16300,16300,"Cedar Rapids, IA Metro Area",264277
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",152707
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",236647
310M300US16620,16620,"Charleston, WV Metro Area",222314
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",728271
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2381152
310M300US16820,16820,"Charlottesville, VA Metro Area",226817
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",544522
310M300US16940,16940,"Cheyenne, WY Metro Area",96459
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9528396
310M300US17020,17020,"Chico, CA Metro Area",223877
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2146410
310M300US17300,17300,"Clarksville, TN-KY Metro Area",277912
310M300US17420,17420,"Cleveland, TN Metro Area",119557
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",2061630
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",147716
310M300US17780,17780,"College Station-Bryan, TX Metro Area",243850
310M300US17820,17820,"Colorado Springs, CO Metro Area",688643
310M300US17860,17860,"Columbia, MO Metro Area",172773
310M300US17900,17900,"Columbia, SC Metro Area",800559
310M300US17980,17980,"Columbus, GA-AL Metro Area",312459
310M300US18020,18020,"Columbus, IN Metro Area",80203
310M300US18140,18140,"Columbus, OH Metro Area",1995004
310M300US18580,18580,"Corpus Christi, TX Metro Area",447102
310M300US18700,18700,"Corvallis, OR Metro Area",87455
310M300US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",257326
310M300US19060,19060,"Cumberland, MD-WV Metro Area",100666
310M300US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6957123
310M300US19140,19140,"Dalton, GA Metro Area",143011
310M300US19180,19180,"Danville, IL Metro Area",79613
310M300US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",199510
310M300US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",383304
310M300US19380,19380,"Dayton, OH Metro Area",800950
310M300US19460,19460,"Decatur, AL Metro Area",152988
310M300US19500,19500,"Decatur, IL Metro Area",108404
310M300US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",613723
310M300US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",2752056
310M300US19780,19780,"Des Moines-West Des Moines, IA Metro Area",611755
310M300US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",4296731
310M300US20020,20020,"Dothan, AL Metro Area",147843
310M300US20100,20100,"Dover, DE Metro Area",171474
310M300US20220,20220,"Dubuque, IA Metro Area",96359
310M300US20260,20260,"Duluth, MN-WI Metro Area",279540
310M300US20500,20500,"Durham-Chapel Hill, NC Metro Area",542399
310M300US20700,20700,"East Stroudsburg, PA Metro Area",167126
310M300US20740,20740,"Eau Claire, WI Metro Area",165262
310M300US20940,20940,"El Centro, CA Metro Area",178807
310M300US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",150451
310M300US21140,21140,"Elkhart-Goshen, IN Metro Area",201640
310M300US21300,21300,"Elmira, NY Metro Area",87742
310M300US21340,21340,"El Paso, TX Metro Area",837073
310M300US21420,21420,"Enid, OK Metro Area",62481
310M300US21500,21500,"Erie, PA Metro Area",279133
310M300US21660,21660,"Eugene, OR Metro Area",360273
310M300US21780,21780,"Evansville, IN-KY Metro Area",315008
310M300US21820,21820,"Fairbanks, AK Metro Area",100150
310M300US22020,22020,"Fargo, ND-MN Metro Area",228254
310M300US22140,22140,"Farmington, NM Metro Area",122537
310M300US22180,22180,"Fayetteville, NC Metro Area",377694
310M300US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",503642
310M300US22380,22380,"Flagstaff, AZ Metro Area",138064
310M300US22420,22420,"Flint, MI Metro Area",413090
310M300US22500,22500,"Florence, SC Metro Area",206264
310M300US22520,22520,"Florence-Muscle Shoals, AL Metro Area",147018
310M300US22540,22540,"Fond du Lac, WI Metro Area",101968
310M300US22660,22660,"Fort Collins, CO Metro Area",325228
310M300US22900,22900,"Fort Smith, AR-OK Metro Area",280507
310M300US23060,23060,"Fort Wayne, IN Metro Area",426755
310M300US23420,23420,"Fresno, CA Metro Area",963160
310M300US23460,23460,"Gadsden, AL Metro Area",103363
310M300US23540,23540,"Gainesville, FL Metro Area",273614
310M300US23580,23580,"Gainesville, GA Metro Area",190482
310M300US23900,23900,"Gettysburg, PA Metro Area",101759
310M300US24020,24020,"Glens Falls, NY Metro Area",127376
310M300US24140,24140,"Goldsboro, NC Metro Area",124447
310M300US24220,24220,"Grand Forks, ND-MN Metro Area",101343
310M300US24260,24260,"Grand Island, NE Metro Area",84381
310M300US24300,24300,"Grand Junction, CO Metro Area",148166
310M300US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",1028173
310M300US24420,24420,"Grants Pass, OR Metro Area",84063
310M300US24500,24500,"Great Falls, MT Metro Area",82049
310M300US24540,24540,"Greeley, CO Metro Area",278065
310M300US24580,24580,"Green Bay, WI Metro Area",314555
310M300US24660,24660,"Greensboro-High Point, NC Metro Area",746301
310M300US24780,24780,"Greenville, NC Metro Area",175150
310M300US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",862064
310M300US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",385448
