GEO.id2,GEO.id,MSA,POP_TOT,POP_MALE,POP_M_18_24,POP_M_18_24_E1,POP_M_18_24_E2,POP_M_18_24_E3,POP_M_18_24_E4,POP_M_18_24_E5,POP_M_18_24_E6,POP_M_18_24_E7,POP_M_25_34,POP_M_25_34_E1,POP_M_25_34_E2,POP_M_25_34_E3,POP_M_25_34_E4,POP_M_25_34_E5,POP_M_25_34_E6,POP_M_25_34_E7,POP_M_35_44,POP_M_35_44_E1,POP_M_35_44_E2,POP_M_35_44_E3,POP_M_35_44_E4,POP_M_35_44_E5,POP_M_35_44_E6,POP_M_35_44_E7,POP_M_45_64,POP_M_45_64_E1,POP_M_45_64_E2,POP_M_45_64_E3,POP_M_45_64_E4,POP_M_45_64_E5,POP_M_45_64_E6,POP_M_45_64_E7,POP_M_65_OVER,POP_M_65_OVER_E1,POP_M_65_OVER_E2,POP_M_65_OVER_E3,POP_M_65_OVER_E4,POP_M_65_OVER_E5,POP_M_65_OVER_E6,POP_M_65_OVER_E7,POP_FEMALE,POP_F_18_24,POP_F_18_24_E1,POP_F_18_24_E2,POP_F_18_24_E3,POP_F_18_24_E4,POP_F_18_24_E5,POP_F_18_24_E6,POP_F_18_24_E7,POP_F_25_34,POP_F_25_34_E1,POP_F_25_34_E2,POP_F_25_34_E3,POP_F_25_34_E4,POP_F_25_34_E5,POP_F_25_34_E6,POP_F_25_34_E7,POP_F_35_44,POP_F_35_44_E1,POP_F_35_44_E2,POP_F_35_44_E3,POP_F_35_44_E4,POP_F_35_44_E5,POP_F_35_44_E6,POP_F_35_44_E7,POP_F_45_64,POP_F_45_64_E1,POP_F_45_64_E2,POP_F_45_64_E3,POP_F_45_64_E4,POP_F_45_64_E5,POP_F_45_64_E6,POP_F_45_64_E7,POP_F_65_OVER,POP_F_65_OVER_E1,POP_F_65_OVER_E2,POP_F_65_OVER_E3,POP_F_65_OVER_E4,POP_F_65_OVER_E5,POP_F_65_OVER_E6,POP_F_65_OVER_E7
10180,310M100US10180,"Abilene, TX Metro Area",124263,62131,11544,342,1568,3520,4893,300,798,123,11624,266,1905,3813,2636,853,1715,436,10339,639,1444,3234,2421,722,1283,596,19346,1546,2113,5304,4696,1239,2946,1502,9278,1151,903,2535,1923,457,1396,913,62132,9874,225,948,2869,4903,218,617,94,10399,309,561,2513,3582,735,2230,469,9411,334,890,2854,2270,741,1716,606,19744,1391,1539,5658,5467,1449,2931,1309,12704,1476,1775,4450,2532,481,1211,779
10420,310M100US10420,"Akron, OH Metro Area",542005,258483,36180,322,5172,12188,12928,2253,3071,246,40756,610,2935,12744,8613,3009,9649,3196,46234,515,2338,15657,8918,3672,10309,4825,94626,1364,6593,34010,19219,5853,16545,11042,40687,2615,5540,14187,6987,1125,5980,4253,283522,36869,270,3423,9782,16742,2073,4086,493,41665,661,2375,9230,9212,4939,10568,4680,48196,414,2160,13706,9645,5217,11464,5590,100238,1420,6111,36133,21288,8891,16350,10045,56554,3509,9155,24788,9239,1741,5481,2641
10500,310M100US10500,"Albany, GA Metro Area",115760,53618,8714,428,2273,2479,3131,247,147,9,9306,352,1508,2876,2874,476,894,326,9383,232,1340,3833,2249,354,906,469,18736,1016,3061,6158,3940,1086,1938,1537,7479,1572,1236,2052,1089,251,570,709,62142,9055,164,1532,2176,4236,438,476,33,10439,226,1076,2644,3448,1058,1264,723,10738,204,1278,2863,3092,1331,1232,738,20871,679,2483,6955,5062,1359,2351,1982,11039,1994,2253,3527,1597,401,850,417
10580,310M100US10580,"Albany-Schenectady-Troy, NY Metro Area",676049,324962,48002,600,5107,14650,18627,3253,5295,470,50764,524,3654,13136,9260,5790,11903,6497,58862,721,3343,16687,10331,7302,11924,8554,117326,3087,6584,33874,19965,13592,22266,17958,50008,3946,5362,17460,7103,2715,6272,7150,351087,45646,416,3802,12182,18573,3272,6703,698,51877,599,2609,9813,9535,6513,12929,9879,60944,800,2780,14584,10805,8810,12560,10605,122925,2513,5670,36301,22135,16872,19756,19678,69695,5514,8174,30655,9891,3443,6506,5512
10740,310M100US10740,"Albuquerque, NM Metro Area",648821,314721,43661,1343,8414,14669,16036,1120,1937,142,59402,2661,6314,16942,15716,4358,8556,4855,57197,3973,5271,14235,12587,5062,9320,6749,109608,5848,7251,26595,24888,7687,19872,17467,44853,4322,3613,10476,9044,1872,7293,8233,334100,42427,1218,6423,11897,17979,1631,3032,247,58796,2405,5113,12833,17080,5019,11456,4890,57644,2613,4036,13396,14399,5742,10709,6749,117203,4976,7187,29436,29444,8454,20584,17122,58030,6119,6532,19090,12042,2083,6715,5449
10780,310M100US10780,"Alexandria, LA Metro Area",113237,54752,6998,385,1695,2559,2006,155,198,0,10083,307,1680,4219,2143,320,1087,327,9966,466,1541,3841,1911,588,1095,524,19179,1200,2453,7210,4003,806,2061,1446,8526,1147,1034,2690,1725,148,989,793,58485,6891,114,1013,2566,2574,231,374,19,9660,251,997,2721,2635,917,1619,520,10046,159,664,3506,2365,984,1834,534,20325,843,1951,7432,4805,1576,2601,1117,11563,1434,1994,4381,1895,265,1002,592
10900,310M100US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",624210,299190,36484,472,5471,12598,13561,1414,2759,209,45130,915,3908,14064,8839,4561,9331,3512,56422,1144,4045,20145,9797,4896,10663,5732,110348,3334,7757,40720,18455,8262,18867,12953,50806,4650,7750,18998,6877,1919,5820,4792,325020,35006,263,4063,10334,14765,1782,3528,271,45880,919,2920,11091,9664,4740,11124,5422,58477,1227,2746,16626,11707,7061,12254,6856,114942,3286,7523,43460,20468,11285,17783,11137,70715,7938,12930,32763,7695,2299,4399,2691
11020,310M100US11020,"Altoona, PA Metro Area",99823,47539,5919,17,769,3036,1572,191,323,11,7176,91,395,3201,1330,742,1145,272,7941,137,524,3851,1198,886,1005,340,17450,279,1019,8816,2709,1217,2200,1210,9053,594,1231,4355,1450,278,644,501,52284,5549,16,523,2025,2155,272,510,48,7155,118,249,2237,1494,851,1799,407,8167,97,440,3060,1573,1052,1242,703,18198,208,934,9653,2773,1775,1935,920,13215,1057,1759,7814,1352,299,760,174
11100,310M100US11100,"Amarillo, TX Metro Area",180732,89276,13143,310,2329,4707,5036,287,463,11,17322,927,2250,4818,4889,1152,2591,695,16385,1339,1753,4702,4630,1141,2003,817,30005,1727,2679,7950,7788,2066,4818,2977,12421,1459,1202,2953,2976,574,1692,1565,91456,13046,127,2043,3473,6116,561,592,134,16633,927,1788,3687,4991,1210,3120,910,15371,756,1589,3735,4323,1506,2836,626,29704,1680,1923,7383,8492,2754,4990,2482,16702,1575,1891,5724,4033,701,1739,1039
11180,310M100US11180,"Ames, IA Metro Area",72109,37386,14525,0,396,2011,9260,1056,1568,234,6471,16,123,773,1564,596,2276,1123,4297,46,87,544,774,333,1531,982,8406,177,314,2065,1499,592,2026,1733,3687,166,204,1019,649,111,453,1085,34723,11532,21,285,1467,6872,963,1855,69,5461,46,166,409,963,541,2248,1088,4092,51,110,493,736,530,1310,862,8650,76,131,2001,1752,880,2174,1636,4988,162,298,1978,1078,240,837,395
11260,310M100US11260,"Anchorage, AK Metro Area",269351,136484,21322,287,3564,8287,7788,418,900,78,26686,489,1576,7282,9197,1574,4944,1624,26206,411,1755,6774,7039,2831,4936,2460,50146,866,1870,12903,13701,4458,9316,7032,12124,1081,910,3197,2996,574,1697,1669,132867,18710,264,2521,6050,8098,610,1108,59,25805,440,1403,6032,8063,1941,6408,1518,26057,438,1394,5655,7289,2592,5989,2700,48427,1053,2053,10939,13317,5060,10333,5672,13868,1597,1207,4026,3455,628,1770,1185
11300,310M100US11300,"Anderson, IN Metro Area",100843,49659,6075,190,1282,2158,1953,210,267,15,8585,247,949,3534,1718,646,1191,300,9355,193,855,4275,1897,809,1067,259,17303,515,1451,7478,3653,1179,1766,1261,8341,879,1034,3400,1461,171,684,712,51184,5748,89,1310,1839,1996,86,420,8,7629,240,621,2334,2135,621,1201,477,8718,157,400,3378,1930,1136,1275,442,17612,543,1417,7259,3723,1567,1762,1341,11477,799,1838,5827,1760,223,487,543
11340,310M100US11340,"Anderson, SC Metro Area",139195,65922,7513,277,1758,2666,2301,246,256,9,10336,472,1666,3637,2084,885,1184,408,12424,354,1501,4328,2672,1181,1704,684,24182,1253,3024,8331,4465,2080,3420,1609,11467,1674,1785,3507,1782,557,1168,994,73273,7755,109,1443,2475,2843,332,553,0,11266,93,1091,3220,2936,1208,2029,689,12895,295,1166,3658,3301,2087,1571,817,25860,1465,2541,9375,5222,2779,2768,1710,15497,2537,3086,5402,2192,787,925,568
11460,310M100US11460,"Ann Arbor, MI Metro Area",270879,132483,30323,109,1871,5756,17844,923,3488,332,24541,129,1205,2935,5882,1483,6799,6108,22835,362,897,3509,4339,1336,6274,6118,40706,531,1826,6851,8065,2816,8918,11699,14078,809,1192,2925,1944,411,2228,4569,138396,29685,141,1201,4974,17209,964,4870,326,23833,146,525,2283,4862,1357,8470,6190,22945,276,551,3091,3829,2188,6422,6588,43168,436,1475,7797,8752,3897,10012,10799,18765,1128,2113,5733,3057,849,2765,3120
11500,310M100US11500,"Anniston-Oxford, AL Metro Area",90174,42528,6113,187,1063,2069,2514,161,119,0,7315,482,997,2632,1687,490,794,233,7353,426,859,3027,1481,484,634,442,15012,758,2046,4914,3586,965,1600,1143,6735,1133,1080,1728,1217,288,645,644,47646,6339,69,941,1996,2811,137,385,0,7526,578,910,1719,2096,678,1109,436,7741,249,825,2497,1760,846,983,581,16278,612,1981,6509,3499,1253,1344,1080,9762,1583,2179,3767,1159,213,446,415
11540,310M100US11540,"Appleton, WI Metro Area",164723,81359,9929,225,1400,4029,3074,512,666,23,14716,186,890,4841,3184,1972,3023,620,16494,195,691,4674,3776,2167,3592,1399,29316,357,1507,11213,5707,3289,5001,2242,10904,1051,1088,4897,1423,342,1222,881,83364,8890,148,901,3064,3283,448,1008,38,14385,132,562,2969,3390,1967,4333,1032,16426,284,348,4580,3478,2170,4089,1477,29108,319,986,12275,5570,3002,5196,1760,14555,1575,1174,7817,2035,370,1126,458
11700,310M100US11700,"Asheville, NC Metro Area",330737,156510,16338,674,3004,5365,5930,406,918,41,24988,1108,2764,7627,6407,1667,4250,1165,27323,1308,2440,7814,5937,2658,4965,2201,55976,2303,4644,15488,11587,5303,9826,6825,31885,3231,3320,8249,5792,1263,5092,4938,174227,16657,678,2271,4787,6585,686,1598,52,25051,891,1754,5286,5870,2732,6703,1815,27699,692,1835,6437,5702,3751,6607,2675,62023,1662,3999,17249,14018,6776,11525,6794,42797,3917,5015,14977,8427,2116,5114,3231
12020,310M100US12020,"Athens-Clarke County, GA Metro Area",149032,70804,19004,226,1606,4605,10652,370,1378,167,13442,777,1700,3123,2400,519,3330,1593,11231,419,1600,3093,1861,443,2102,1713,19542,826,2293,4988,3492,901,3291,3751,7585,712,1184,1688,855,155,1129,1862,78228,22398,223,1484,5839,11565,677,2429,181,13243,510,1244,2460,2379,631,3838,2181,11368,369,952,3189,2393,812,1855,1798,20553,800,2339,5468,3971,1437,2829,3709,10666,1526,1741,3453,1643,312,1024,967
12060,310M100US12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",3753078,1799331,238074,11582,46030,81314,73630,6724,17381,1413,370067,25854,36016,95856,74276,20196,87234,30635,409643,17373,29692,104612,78792,27417,101124,50633,599242,24383,43780,151654,116659,39208,139247,84311,182305,19618,20434,47393,32525,6743,31498,24094,1953747,229273,6090,32274,69000,85167,9162,25204,2376,391168,15010,26965,82478,84037,27891,106661,48126,427853,12585,23003,95161,90899,35753,113906,56546,651696,20177,45708,176641,142315,53330,135101,78424,253757,29115,36310,91227,45323,9152,26856,15774
12100,310M100US12100,"Atlantic City-Hammonton, NJ Metro Area",208423,99380,12528,330,1228,4305,5576,579,503,7,15340,765,1144,5693,2971,1151,2657,959,18695,1011,1827,7011,3648,1354,2853,991,36837,1564,3409,13150,6903,2039,6511,3261,15980,1877,2258,5184,2437,600,1859,1765,109043,12426,290,911,3146,6603,751,684,41,15884,844,1055,4128,3456,1731,3578,1092,19908,552,1531,6813,3974,1974,3638,1426,39042,1550,3104,13538,7899,3107,6804,3040,21783,2443,3115,9676,2831,913,2057,748
