GEO_ID_2,GEO_ID,MSA,GQ_POP
10180,310M100US10180,"Abilene, TX Metro Area",13503
10420,310M100US10420,"Akron, OH Metro Area",15578
10500,310M100US10500,"Albany, GA Metro Area",6850
10580,310M100US10580,"Albany-Schenectady-Troy, NY Metro Area",33478
10740,310M100US10740,"Albuquerque, NM Metro Area",13467
10780,310M100US10780,"Alexandria, LA Metro Area",7525
10900,310M100US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",24879
11020,310M100US11020,"Altoona, PA Metro Area",3500
11100,310M100US11100,"Amarillo, TX Metro Area",4758
11180,310M100US11180,"Ames, IA Metro Area",7529
11260,310M100US11260,"Anchorage, AK Metro Area",8167
11300,310M100US11300,"Anderson, IN Metro Area",5232
11340,310M100US11340,"Anderson, SC Metro Area",3938
11460,310M100US11460,"Ann Arbor, MI Metro Area",24157
11500,310M100US11500,"Anniston-Oxford, AL Metro Area",2903
11540,310M100US11540,"Appleton, WI Metro Area",2936
11700,310M100US11700,"Asheville, NC Metro Area",11203
12020,310M100US12020,"Athens-Clarke County, GA Metro Area",10674
12060,310M100US12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",78993
12100,310M100US12100,"Atlantic City-Hammonton, NJ Metro Area",13573
12220,310M100US12220,"Auburn-Opelika, AL Metro Area",4587
12260,310M100US12260,"Augusta-Richmond County, GA-SC Metro Area",19037
12420,310M100US12420,"Austin-Round Rock-San Marcos, TX Metro Area",39096
12540,310M100US12540,"Bakersfield-Delano, CA Metro Area",36751
12580,310M100US12580,"Baltimore-Towson, MD Metro Area",69985
12620,310M100US12620,"Bangor, ME Metro Area",7443
12700,310M100US12700,"Barnstable Town, MA Metro Area",4147
12940,310M100US12940,"Baton Rouge, LA Metro Area",25352
12980,310M100US12980,"Battle Creek, MI Metro Area",2731
13020,310M100US13020,"Bay City, MI Metro Area",1311
13140,310M100US13140,"Beaumont-Port Arthur, TX Metro Area",17167
13380,310M100US13380,"Bellingham, WA Metro Area",5268
13460,310M100US13460,"Bend, OR Metro Area",904
13740,310M100US13740,"Billings, MT Metro Area",3753
13780,310M100US13780,"Binghamton, NY Metro Area",10596
13820,310M100US13820,"Birmingham-Hoover, AL Metro Area",20547
13900,310M100US13900,"Bismarck, ND Metro Area",2857
13980,310M100US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",17115
14020,310M100US14020,"Bloomington, IN Metro Area",14782
14060,310M100US14060,"Bloomington-Normal, IL Metro Area",9082
14260,310M100US14260,"Boise City-Nampa, ID Metro Area",12878
14460,310M100US14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",153367
14500,310M100US14500,"Boulder, CO Metro Area",11201
14540,310M100US14540,"Bowling Green, KY Metro Area",6091
14740,310M100US14740,"Bremerton-Silverdale, WA Metro Area",5193
14860,310M100US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",21959
15180,310M100US15180,"Brownsville-Harlingen, TX Metro Area",2684
15260,310M100US15260,"Brunswick, GA Metro Area",872
15380,310M100US15380,"Buffalo-Niagara Falls, NY Metro Area",31573
15500,310M100US15500,"Burlington, NC Metro Area",3835
15540,310M100US15540,"Burlington-South Burlington, VT Metro Area",9532
15940,310M100US15940,"Canton-Massillon, OH Metro Area",9652
15980,310M100US15980,"Cape Coral-Fort Myers, FL Metro Area",7281
16020,310M100US16020,"Cape Girardeau-Jackson, MO-IL Metro Area",4142
16180,310M100US16180,"Carson City, NV Metro Area",1087
16220,310M100US16220,"Casper, WY Metro Area",2030
16300,310M100US16300,"Cedar Rapids, IA Metro Area",7284
16580,310M100US16580,"Champaign-Urbana, IL Metro Area",18247
16620,310M100US16620,"Charleston, WV Metro Area",3355
16700,310M100US16700,"Charleston-North Charleston-Summerville, SC Metro Area",16370
16740,310M100US16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",26336
16820,310M100US16820,"Charlottesville, VA Metro Area",10041
16860,310M100US16860,"Chattanooga, TN-GA Metro Area",10780
16940,310M100US16940,"Cheyenne, WY Metro Area",1751
16980,310M100US16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",156139
17020,310M100US17020,"Chico, CA Metro Area",5115
17140,310M100US17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",49122
17300,310M100US17300,"Clarksville, TN-KY Metro Area",9348
17420,310M100US17420,"Cleveland, TN Metro Area",2630
17460,310M100US17460,"Cleveland-Elyria-Mentor, OH Metro Area",44492
17660,310M100US17660,"Coeur d'Alene, ID Metro Area",1101
17780,310M100US17780,"College Station-Bryan, TX Metro Area",13874
17820,310M100US17820,"Colorado Springs, CO Metro Area",17640
17860,310M100US17860,"Columbia, MO Metro Area",10764
17900,310M100US17900,"Columbia, SC Metro Area",32978
17980,310M100US17980,"Columbus, GA-AL Metro Area",20129
18020,310M100US18020,"Columbus, IN Metro Area",1175
18140,310M100US18140,"Columbus, OH Metro Area",45361
18580,310M100US18580,"Corpus Christi, TX Metro Area",8343
18700,310M100US18700,"Corvallis, OR Metro Area",5514
18880,310M100US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",5210
19060,310M100US19060,"Cumberland, MD-WV Metro Area",7818
19100,310M100US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",92549
19140,310M100US19140,"Dalton, GA Metro Area",1132
19180,310M100US19180,"Danville, IL Metro Area",1418
19260,310M100US19260,"Danville, VA Metro Area",3100
19340,310M100US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",8779
19380,310M100US19380,"Dayton, OH Metro Area",26414
19460,310M100US19460,"Decatur, AL Metro Area",2019
19500,310M100US19500,"Decatur, IL Metro Area",3369
19660,310M100US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",15238
19740,310M100US19740,"Denver-Aurora-Broomfield, CO Metro Area",29465
19780,310M100US19780,"Des Moines-West Des Moines, IA Metro Area",10765
19820,310M100US19820,"Detroit-Warren-Livonia, MI Metro Area",50809
20020,310M100US20020,"Dothan, AL Metro Area",1850
20100,310M100US20100,"Dover, DE Metro Area",3874
20220,310M100US20220,"Dubuque, IA Metro Area",4564
20260,310M100US20260,"Duluth, MN-WI Metro Area",12653
20500,310M100US20500,"Durham-Chapel Hill, NC Metro Area",25026
20740,310M100US20740,"Eau Claire, WI Metro Area",6050
20940,310M100US20940,"El Centro, CA Metro Area",10201
21060,310M100US21060,"Elizabethtown, KY Metro Area",4414
21140,310M100US21140,"Elkhart-Goshen, IN Metro Area",2497
21300,310M100US21300,"Elmira, NY Metro Area",5936
21340,310M100US21340,"El Paso, TX Metro Area",12458
21500,310M100US21500,"Erie, PA Metro Area",12831
21660,310M100US21660,"Eugene-Springfield, OR Metro Area",10001
21780,310M100US21780,"Evansville, IN-KY Metro Area",9536
21820,310M100US21820,"Fairbanks, AK Metro Area",3595
22020,310M100US22020,"Fargo, ND-MN Metro Area",9882
22140,310M100US22140,"Farmington, NM Metro Area",1677
22180,310M100US22180,"Fayetteville, NC Metro Area",15389
22220,310M100US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",9244
22380,310M100US22380,"Flagstaff, AZ Metro Area",7778
22420,310M100US22420,"Flint, MI Metro Area",4962
22500,310M100US22500,"Florence, SC Metro Area",4761
22520,310M100US22520,"Florence-Muscle Shoals, AL Metro Area",2937
22540,310M100US22540,"Fond du Lac, WI Metro Area",2492
22660,310M100US22660,"Fort Collins-Loveland, CO Metro Area",9508
22900,310M100US22900,"Fort Smith, AR-OK Metro Area",3745
23060,310M100US23060,"Fort Wayne, IN Metro Area",6506
23420,310M100US23420,"Fresno, CA Metro Area",18253
23460,310M100US23460,"Gadsden, AL Metro Area",1719
23540,310M100US23540,"Gainesville, FL Metro Area",18853
23580,310M100US23580,"Gainesville, GA Metro Area",4515
24020,310M100US24020,"Glens Falls, NY Metro Area",5437
24140,310M100US24140,"Goldsboro, NC Metro Area",4020
24220,310M100US24220,"Grand Forks, ND-MN Metro Area",6207
24300,310M100US24300,"Grand Junction, CO Metro Area",2999
24340,310M100US24340,"Grand Rapids-Wyoming, MI Metro Area",18464
24500,310M100US24500,"Great Falls, MT Metro Area",2119
24540,310M100US24540,"Greeley, CO Metro Area",5097
24580,310M100US24580,"Green Bay, WI Metro Area",7811
24660,310M100US24660,"Greensboro-High Point, NC Metro Area",17602
24780,310M100US24780,"Greenville, NC Metro Area",8316
24860,310M100US24860,"Greenville-Mauldin-Easley, SC Metro Area",24252
25060,310M100US25060,"Gulfport-Biloxi, MS Metro Area",6765
25180,310M100US25180,"Hagerstown-Martinsburg, MD-WV Metro Area",8349
25260,310M100US25260,"Hanford-Corcoran, CA Metro Area",17241
25420,310M100US25420,"Harrisburg-Carlisle, PA Metro Area",19641
25500,310M100US25500,"Harrisonburg, VA Metro Area",11389
25540,310M100US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",48295
25620,310M100US25620,"Hattiesburg, MS Metro Area",4091
25860,310M100US25860,"Hickory-Lenoir-Morganton, NC Metro Area",6343
25980,310M100US25980,"Hinesville-Fort Stewart, GA Metro Area",1591
26100,310M100US26100,"Holland-Grand Haven, MI Metro Area",7989
26180,310M100US26180,"Honolulu, HI Metro Area",34152
26300,310M100US26300,"Hot Springs, AR Metro Area",1700
26380,310M100US26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",3074
26420,310M100US26420,"Houston-Sugar Land-Baytown, TX Metro Area",72532
26580,310M100US26580,"Huntington-Ashland, WV-KY-OH Metro Area",6276
26620,310M100US26620,"Huntsville, AL Metro Area",10661
26820,310M100US26820,"Idaho Falls, ID Metro Area",901
26900,310M100US26900,"Indianapolis-Carmel, IN Metro Area",35276
