GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_INC1,HH_INC2,HH_INC3,HH_INC4,HH_INC5,HH_INC6,HH_INC7,HH_INC8,HH_INC9,HH_INC10,HH_INC11,HH_INC12,HH_INC13,HH_INC14,HH_INC15,HH_INC16
10180,310M100US10180,"Abilene, TX Metro Area",60912,4755,3984,4208,4463,3729,4117,3776,3079,2834,5419,6073,6851,3284,1815,1460,1065
10420,310M100US10420,"Akron, OH Metro Area",284941,23880,16607,15136,15646,15171,16342,14605,14895,14117,23407,30980,35182,19959,10774,10301,7939
10500,310M100US10500,"Albany, GA Metro Area",58366,7228,4843,5102,3519,3713,3749,2960,2797,2698,4412,5203,5676,2794,1443,1110,1119
10580,310M100US10580,"Albany-Schenectady-Troy, NY Metro Area",346139,20116,17224,15549,17834,16409,16432,15981,15780,14821,28706,37081,49237,33402,18254,17371,11942
10740,310M100US10740,"Albuquerque, NM Metro Area",336709,26896,18746,18072,20060,18161,20733,18017,18406,14700,27750,35181,39633,24608,13679,12920,9147
10780,310M100US10780,"Alexandria, LA Metro Area",55534,4764,4840,4334,3942,3001,3025,3519,2846,2279,3989,5557,6251,3004,1713,1475,995
10900,310M100US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",312520,16208,15657,15120,16340,14750,15403,14808,15192,13882,26267,35918,42998,28509,16122,14183,11163
11020,310M100US11020,"Altoona, PA Metro Area",51651,3970,3890,3922,3525,3417,3451,2521,2542,2557,4810,5687,5779,2593,1302,847,838
11100,310M100US11100,"Amarillo, TX Metro Area",90561,7042,5741,5855,5752,5487,5200,4416,4620,3993,8034,9512,11464,5525,2931,2607,2382
11180,310M100US11180,"Ames, IA Metro Area",34227,2867,2119,2287,1812,2011,1718,1778,1581,1532,2865,3262,4537,2528,1430,1054,846
11260,310M100US11260,"Anchorage, AK Metro Area",133676,4513,4293,4103,4351,5550,5761,4816,5592,5654,10538,15004,21370,15195,9679,9577,7680
11300,310M100US11300,"Anderson, IN Metro Area",51436,4093,3389,2648,3130,3408,3429,3560,3138,2693,4335,5896,5790,3240,1223,836,628
11340,310M100US11340,"Anderson, SC Metro Area",71973,6622,5225,4967,5299,4365,4537,3166,3109,3522,6426,7042,8845,4098,1896,1668,1186
11460,310M100US11460,"Ann Arbor, MI Metro Area",134161,10261,6310,5750,6206,5906,6533,5945,5718,4986,10314,13063,17089,12813,7633,8496,7138
11500,310M100US11500,"Anniston-Oxford, AL Metro Area",46421,5872,3650,3436,2887,2583,2999,2598,2247,1791,3810,4562,4860,2294,1243,897,692
11540,310M100US11540,"Appleton, WI Metro Area",87327,3869,3986,3586,4199,4117,4489,4433,4039,4349,8846,10789,14101,8058,3779,2802,1885
11700,310M100US11700,"Asheville, NC Metro Area",178865,12888,12522,11046,11965,11152,11714,10309,9501,8696,16773,18523,20590,10062,4783,4220,4121
