GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_FAM_2P,HH_FAM_3P,HH_FAM_4P,HH_FAM_5P,HH_FAM_6P,HH_FAM_7P,HH_NON_FAMILY,HH_NON_FAM_1P,HH_NON_FAM_2P,HH_NON_FAM_3P,HH_NON_FAM_4P,HH_NON_FAM_5P,HH_NON_FAM_6P,HH_NON_FAM_7P
10180,310M100US10180,"Abilene, TX Metro Area",60912,40747,19160,9310,7127,3627,1104,419,20165,16975,2502,507,140,41,0,0
10420,310M100US10420,"Akron, OH Metro Area",284941,183596,85880,40327,35594,14789,4855,2151,101345,84329,14372,1675,708,201,41,19
10500,310M100US10500,"Albany, GA Metro Area",58366,39336,17191,9290,7667,3629,702,857,19030,16785,1996,196,16,18,19,0
10580,310M100US10580,"Albany-Schenectady-Troy, NY Metro Area",346139,213800,98996,49701,41416,16819,4713,2155,132339,105226,23073,3077,758,182,6,17
10740,310M100US10740,"Albuquerque, NM Metro Area",336709,215464,92829,50740,41870,19315,6731,3979,121245,98502,19605,2242,742,133,21,0
10780,310M100US10780,"Alexandria, LA Metro Area",55534,38326,17266,9050,7388,2978,867,777,17208,15074,1709,252,77,93,3,0
10900,310M100US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",312520,215755,92359,50508,45807,18458,5667,2956,96765,79890,14544,1335,720,232,44,0
11020,310M100US11020,"Altoona, PA Metro Area",51651,34060,16697,8148,5675,2370,854,316,17591,14837,2340,205,163,9,37,0
11100,310M100US11100,"Amarillo, TX Metro Area",90561,61108,26645,14541,11341,5743,1737,1101,29453,24982,3735,421,308,7,0,0
11180,310M100US11180,"Ames, IA Metro Area",34227,18575,9797,3611,3358,1314,311,184,15652,9678,4142,1350,394,88,0,0
11260,310M100US11260,"Anchorage, AK Metro Area",133676,91429,36965,21574,18142,8712,3337,2699,42247,31633,8727,1279,449,124,35,0
11300,310M100US11300,"Anderson, IN Metro Area",51436,33572,15883,8032,6031,2533,593,500,17864,15246,2140,165,227,86,0,0
11340,310M100US11340,"Anderson, SC Metro Area",71973,51466,24437,11950,9225,4074,1288,492,20507,17715,2421,212,113,38,0,8
11460,310M100US11460,"Ann Arbor, MI Metro Area",134161,79138,35342,18578,16652,5767,1866,933,55023,40736,10661,1814,878,311,261,362
11500,310M100US11500,"Anniston-Oxford, AL Metro Area",46421,31201,14644,7910,5442,2181,720,304,15220,13190,1706,115,169,19,21,0
