GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_MAR_FAM,HH_OTHER_FAM,HH_MALE_FAM,HH_FEMALE_FAM,HH_NON_FAMILY,HH_LIVING_ALONE,HH_NOT_LIVING_ALONE
10180,310M100US10180,"Abilene, TX Metro Area",60912,40747,30765,9982,1957,8025,20165,16975,3190
10420,310M100US10420,"Akron, OH Metro Area",284941,183596,137277,46319,11074,35245,101345,84329,17016
10500,310M100US10500,"Albany, GA Metro Area",58366,39336,24553,14783,2259,12524,19030,16785,2245
10580,310M100US10580,"Albany-Schenectady-Troy, NY Metro Area",346139,213800,161926,51874,13798,38076,132339,105226,27113
10740,310M100US10740,"Albuquerque, NM Metro Area",336709,215464,151930,63534,19262,44272,121245,98502,22743
10780,310M100US10780,"Alexandria, LA Metro Area",55534,38326,26886,11440,2166,9274,17208,15074,2134
10900,310M100US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",312520,215755,166453,49302,13142,36160,96765,79890,16875
11020,310M100US11020,"Altoona, PA Metro Area",51651,34060,25851,8209,2351,5858,17591,14837,2754
11100,310M100US11100,"Amarillo, TX Metro Area",90561,61108,45255,15853,4166,11687,29453,24982,4471
11180,310M100US11180,"Ames, IA Metro Area",34227,18575,15650,2925,765,2160,15652,9678,5974
11260,310M100US11260,"Anchorage, AK Metro Area",133676,91429,68775,22654,7612,15042,42247,31633,10614
11300,310M100US11300,"Anderson, IN Metro Area",51436,33572,24458,9114,2546,6568,17864,15246,2618
11340,310M100US11340,"Anderson, SC Metro Area",71973,51466,38440,13026,3407,9619,20507,17715,2792
11460,310M100US11460,"Ann Arbor, MI Metro Area",134161,79138,61848,17290,4507,12783,55023,40736,14287
11500,310M100US11500,"Anniston-Oxford, AL Metro Area",46421,31201,22057,9144,2178,6966,15220,13190,2030
11540,310M100US11540,"Appleton, WI Metro Area",87327,60294,50234,10060,3506,6554,27033,22096,4937
11700,310M100US11700,"Asheville, NC Metro Area",178865,114994,91049,23945,6691,17254,63871,52589,11282
12020,310M100US12020,"Athens-Clarke County, GA Metro Area",67266,40689,29619,11070,2653,8417,26577,18848,7729
12060,310M100US12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1874002,1277286,924057,353229,85083,268146,596716,489229,107487
12100,310M100US12100,"Atlantic City-Hammonton, NJ Metro Area",101645,67256,47298,19958,4966,14992,34389,29266,5123
12220,310M100US12220,"Auburn-Opelika, AL Metro Area",54016,32036,23290,8746,1967,6779,21980,16425,5555
12260,310M100US12260,"Augusta-Richmond County, GA-SC Metro Area",203083,140260,96026,44234,9190,35044,62823,54774,8049
12420,310M100US12420,"Austin-Round Rock-San Marcos, TX Metro Area",620073,388214,292775,95439,28521,66918,231859,174729,57130
12540,310M100US12540,"Bakersfield-Delano, CA Metro Area",248057,185559,128781,56778,17835,38943,62498,50098,12400
12580,310M100US12580,"Baltimore-Towson, MD Metro Area",1018225,665999,475901,190098,44655,145443,352226,289365,62861
12620,310M100US12620,"Bangor, ME Metro Area",62282,39470,30858,8612,2364,6248,22812,17075,5737
12700,310M100US12700,"Barnstable Town, MA Metro Area",98164,61766,49824,11942,3210,8732,36398,30425,5973
12940,310M100US12940,"Baton Rouge, LA Metro Area",288358,193430,134074,59356,13101,46255,94928,77600,17328
12980,310M100US12980,"Battle Creek, MI Metro Area",53925,35859,25475,10384,2815,7569,18066,15700,2366
13020,310M100US13020,"Bay City, MI Metro Area",44345,29799,22820,6979,1762,5217,14546,11982,2564
13140,310M100US13140,"Beaumont-Port Arthur, TX Metro Area",141653,97940,68811,29129,6838,22291,43713,37514,6199
13380,310M100US13380,"Bellingham, WA Metro Area",78186,47698,38702,8996,2232,6764,30488,22606,7882
13460,310M100US13460,"Bend, OR Metro Area",63190,43434,35810,7624,2543,5081,19756,14501,5255
13740,310M100US13740,"Billings, MT Metro Area",63895,40841,32725,8116,2102,6014,23054,18202,4852
13780,310M100US13780,"Binghamton, NY Metro Area",101208,64130,47514,16616,4921,11695,37078,30568,6510
13820,310M100US13820,"Birmingham-Hoover, AL Metro Area",432183,293683,211376,82307,17804,64503,138500,120372,18128
13900,310M100US13900,"Bismarck, ND Metro Area",43725,28450,23300,5150,1709,3441,15275,12600,2675
13980,310M100US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",62034,36693,28531,8162,2097,6065,25341,17551,7790
14020,310M100US14020,"Bloomington, IN Metro Area",72896,41565,32555,9010,2472,6538,31331,23054,8277
14060,310M100US14060,"Bloomington-Normal, IL Metro Area",63145,39223,31317,7906,1974,5932,23922,17833,6089
14260,310M100US14260,"Boise City-Nampa, ID Metro Area",221144,153721,122860,30861,10109,20752,67423,52037,15386
14460,310M100US14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",1735175,1097113,832978,264135,65727,198408,638062,497598,140464
14500,310M100US14500,"Boulder, CO Metro Area",117629,68953,55529,13424,4330,9094,48676,34018,14658
14540,310M100US14540,"Bowling Green, KY Metro Area",46731,30385,23056,7329,1776,5553,16346,12890,3456
14740,310M100US14740,"Bremerton-Silverdale, WA Metro Area",95758,65215,52331,12884,4012,8872,30543,24113,6430
14860,310M100US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",331782,230561,179336,51225,13237,37988,101221,85151,16070
15180,310M100US15180,"Brownsville-Harlingen, TX Metro Area",113547,91493,63639,27854,5040,22814,22054,19119,2935
15260,310M100US15260,"Brunswick, GA Metro Area",42933,29107,21323,7784,1559,6225,13826,11837,1989
15380,310M100US15380,"Buffalo-Niagara Falls, NY Metro Area",466232,287669,207008,80661,18958,61703,178563,150365,28198
15500,310M100US15500,"Burlington, NC Metro Area",59000,39987,28639,11348,2515,8833,19013,15719,3294
15540,310M100US15540,"Burlington-South Burlington, VT Metro Area",83140,51907,40867,11040,3155,7885,31233,22772,8461
15940,310M100US15940,"Canton-Massillon, OH Metro Area",162409,109045,82318,26727,7025,19702,53364,46084,7280
15980,310M100US15980,"Cape Coral-Fort Myers, FL Metro Area",245751,162925,132210,30715,9042,21673,82826,66107,16719
16020,310M100US16020,"Cape Girardeau-Jackson, MO-IL Metro Area",37747,25245,19098,6147,1588,4559,12502,10348,2154
16180,310M100US16180,"Carson City, NV Metro Area",21467,13558,9868,3690,1157,2533,7909,6581,1328
16220,310M100US16220,"Casper, WY Metro Area",29597,19752,14860,4892,1373,3519,9845,8229,1616
16300,310M100US16300,"Cedar Rapids, IA Metro Area",103740,66972,52853,14119,4209,9910,36768,29692,7076
16580,310M100US16580,"Champaign-Urbana, IL Metro Area",90044,51609,39580,12029,3144,8885,38435,28863,9572
16620,310M100US16620,"Charleston, WV Metro Area",125740,83153,64207,18946,4856,14090,42587,37141,5446
16700,310M100US16700,"Charleston-North Charleston-Summerville, SC Metro Area",245938,160847,114835,46012,10233,35779,85091,68543,16548
16740,310M100US16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",648431,435147,320132,115015,29735,85280,213284,174174,39110
16820,310M100US16820,"Charlottesville, VA Metro Area",77120,47466,37406,10060,2613,7447,29654,22759,6895
16860,310M100US16860,"Chattanooga, TN-GA Metro Area",206602,139286,104786,34500,8924,25576,67316,57784,9532
16940,310M100US16940,"Cheyenne, WY Metro Area",35790,23771,18049,5722,1939,3783,12019,10157,1862
16980,310M100US16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",3424098,2285447,1672488,612959,159707,453252,1138651,952195,186456
17020,310M100US17020,"Chico, CA Metro Area",85465,52377,39037,13340,3953,9387,33088,24636,8452
17140,310M100US17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",813576,541682,406843,134839,32952,101887,271894,228088,43806
17300,310M100US17300,"Clarksville, TN-KY Metro Area",97792,70712,51678,19034,4146,14888,27080,22484,4596
17420,310M100US17420,"Cleveland, TN Metro Area",43787,30705,24510,6195,1724,4471,13082,10887,2195
17460,310M100US17460,"Cleveland-Elyria-Mentor, OH Metro Area",846121,535574,380460,155114,33764,121350,310547,270316,40231
17660,310M100US17660,"Coeur d'Alene, ID Metro Area",54560,37898,30007,7891,2089,5802,16662,13009,3653
17780,310M100US17780,"College Station-Bryan, TX Metro Area",79087,46743,32942,13801,4219,9582,32344,20874,11470
17820,310M100US17820,"Colorado Springs, CO Metro Area",236155,160190,125027,35163,9402,25761,75965,62592,13373
17860,310M100US17860,"Columbia, MO Metro Area",67276,38872,30365,8507,2079,6428,28404,19335,9069
17900,310M100US17900,"Columbia, SC Metro Area",287784,187576,133088,54488,11210,43278,100208,82928,17280
17980,310M100US17980,"Columbus, GA-AL Metro Area",109062,72307,46586,25721,4414,21307,36755,32161,4594
18020,310M100US18020,"Columbus, IN Metro Area",29856,20814,16498,4316,1247,3069,9042,7172,1870
18140,310M100US18140,"Columbus, OH Metro Area",700135,449672,333983,115689,29925,85764,250463,198748,51715
18580,310M100US18580,"Corpus Christi, TX Metro Area",153704,106714,73543,33171,9298,23873,46990,38977,8013
18700,310M100US18700,"Corvallis, OR Metro Area",33471,19022,15707,3315,1014,2301,14449,9519,4930
18880,310M100US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",72442,48826,37773,11053,2997,8056,23616,18859,4757
19060,310M100US19060,"Cumberland, MD-WV Metro Area",40085,25444,19680,5764,1426,4338,14641,12593,2048
19100,310M100US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2207246,1531456,1131563,399893,108414,291479,675790,558489,117301
19140,310M100US19140,"Dalton, GA Metro Area",48540,35330,26570,8760,3010,5750,13210,10516,2694
19180,310M100US19180,"Danville, IL Metro Area",32236,20659,15059,5600,1532,4068,11577,9841,1736
19260,310M100US19260,"Danville, VA Metro Area",46011,30430,21089,9341,2251,7090,15581,14079,1502
19340,310M100US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",154067,99444,76625,22819,5982,16837,54623,46086,8537
19380,310M100US19380,"Dayton, OH Metro Area",343101,220656,161371,59285,14478,44807,122445,103704,18741
19460,310M100US19460,"Decatur, AL Metro Area",59787,42975,33185,9790,2604,7186,16812,14768,2044
19500,310M100US19500,"Decatur, IL Metro Area",44947,28514,21772,6742,1897,4845,16433,14452,1981
19660,310M100US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",200346,126653,97580,29073,8151,20922,73693,61217,12476
19740,310M100US19740,"Denver-Aurora-Broomfield, CO Metro Area",978799,620203,476083,144120,43304,100816,358596,288520,70076
19780,310M100US19780,"Des Moines-West Des Moines, IA Metro Area",219755,145304,114735,30569,8561,22008,74451,60572,13879
19820,310M100US19820,"Detroit-Warren-Livonia, MI Metro Area",1667113,1102281,788582,313699,74947,238752,564832,491164,73668
20020,310M100US20020,"Dothan, AL Metro Area",55411,38300,27975,10325,2106,8219,17111,15272,1839
20100,310M100US20100,"Dover, DE Metro Area",57396,40711,29592,11119,2407,8712,16685,14011,2674
20220,310M100US20220,"Dubuque, IA Metro Area",36787,24605,20089,4516,1376,3140,12182,9984,2198
20260,310M100US20260,"Duluth, MN-WI Metro Area",119423,73214,57168,16046,4942,11104,46209,37199,9010
20500,310M100US20500,"Durham-Chapel Hill, NC Metro Area",195551,120672,87537,33135,8018,25117,74879,58443,16436
20740,310M100US20740,"Eau Claire, WI Metro Area",63463,40225,32444,7781,2175,5606,23238,17423,5815
20940,310M100US20940,"El Centro, CA Metro Area",47304,38146,25572,12574,2551,10023,9158,8053,1105
21060,310M100US21060,"Elizabethtown, KY Metro Area",42431,30733,23620,7113,1884,5229,11698,10021,1677
21140,310M100US21140,"Elkhart-Goshen, IN Metro Area",70035,50376,38426,11950,3809,8141,19659,16256,3403
21300,310M100US21300,"Elmira, NY Metro Area",35418,22962,16739,6223,1454,4769,12456,10572,1884
21340,310M100US21340,"El Paso, TX Metro Area",242943,186687,125488,61199,12562,48637,56256,49027,7229
21500,310M100US21500,"Erie, PA Metro Area",108252,69875,51483,18392,4715,13677,38377,32293,6084
21660,310M100US21660,"Eugene-Springfield, OR Metro Area",143894,86947,66199,20748,6708,14040,56947,40637,16310
21780,310M100US21780,"Evansville, IN-KY Metro Area",142593,94479,73068,21411,5978,15433,48114,41243,6871
21820,310M100US21820,"Fairbanks, AK Metro Area",34596,23642,18759,4883,1472,3411,10954,8483,2471
22020,310M100US22020,"Fargo, ND-MN Metro Area",84600,48919,39317,9602,2506,7096,35681,27138,8543
22140,310M100US22140,"Farmington, NM Metro Area",41767,30952,21500,9452,3487,5965,10815,9286,1529
22180,310M100US22180,"Fayetteville, NC Metro Area",131543,90936,60632,30304,5408,24896,40607,33384,7223
22220,310M100US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",168289,116099,91516,24583,7506,17077,52190,41951,10239
22380,310M100US22380,"Flagstaff, AZ Metro Area",45478,29748,21102,8646,2511,6135,15730,11194,4536
22420,310M100US22420,"Flint, MI Metro Area",168984,110911,77015,33896,7132,26764,58073,50151,7922
