GEO_ID_2,GEO_ID,MSA,POP_M_15_19,PER_M_15_19_MAR,PER_M_15_19_WID,PER_M_15_19_DIV,PER_M_15_19_SEP,PER_M_15_19_UNMAR,POP_M_20_34,PER_M_20_34_MAR,PER_M_20_34_WID,PER_M_20_34_DIV,PER_M_20_34_SEP,PER_M_20_34_UNMAR,POP_M_35_44,PER_M_35_44_MAR,PER_M_35_44_WID,PER_M_35_44_DIV,PER_M_35_44_SEP,PER_M_35_44_UNMAR,POP_M_45_54,PER_M_45_54_MAR,PER_M_45_54_WID,PER_M_45_54_DIV,PER_M_45_54_SEP,PER_M_45_54_UNMAR,POP_M_55_64,PER_M_55_64_MAR,PER_M_55_64_WID,PER_M_55_64_DIV,PER_M_55_64_SEP,PER_M_55_64_UNMAR,POP_M_65_OVER,PER_M_65_OVER_MAR,PER_M_65_OVER_WID,PER_M_65_OVER_DIV,PER_M_65_OVER_SEP,PER_M_65_OVER_UNMAR,POP_F_15_19,PER_F_15_19_MAR,PER_F_15_19_WID,PER_F_15_19_DIV,PER_F_15_19_SEP,PER_F_15_19_UNMAR,POP_F_20_34,PER_F_20_34_MAR,PER_F_20_34_WID,PER_F_20_34_DIV,PER_F_20_34_SEP,PER_F_20_34_UNMAR,POP_F_35_44,PER_F_35_44_MAR,PER_F_35_44_WID,PER_F_35_44_DIV,PER_F_35_44_SEP,PER_F_35_44_UNMAR,POP_F_45_54,PER_F_45_54_MAR,PER_F_45_54_WID,PER_F_45_54_DIV,PER_F_45_54_SEP,PER_F_45_54_UNMAR,POP_F_55_64,PER_F_55_64_MAR,PER_F_55_64_WID,PER_F_55_64_DIV,PER_F_55_64_SEP,PER_F_55_64_UNMAR,POP_F_65_OVER,PER_F_65_OVER_MAR,PER_F_65_OVER_WID,PER_F_65_OVER_DIV,PER_F_65_OVER_SEP,PER_F_65_OVER_UNMAR
10180,310M100US10180,"Abilene, TX Metro Area",6358,1.4,0,0,0.4,98.2,20134,36.6,0.3,4.6,2,56.6,10339,64.3,0.4,16.1,3.1,16.1,11152,65.9,1.5,19.6,3.1,9.9,8194,71.9,3.8,17,2.7,4.6,9278,74.9,14,8.3,0.9,1.9,6758,0.6,0,0,0,99.4,16682,46.6,0.1,7,2.4,44,9411,66.6,1.6,16.5,4.5,10.8,11084,62.3,4.4,21.9,3.7,7.7,8660,63.5,11.8,18.4,1.2,5,12704,40.8,44.7,11.8,0.7,2
10420,310M100US10420,"Akron, OH Metro Area",26574,0.3,0.5,0.1,0,99,65811,29.7,0.1,3.1,0.8,66.3,46234,64.4,0.2,13.3,1.7,20.4,53330,66.7,1.1,16.9,1.9,13.4,41296,72.9,2.3,16.3,1.5,7,40687,71.9,14.8,8.5,0.7,4,25969,0.2,0.2,0,0,99.6,67251,35.7,0.3,4.4,1.7,57.7,48196,64.8,0.9,15.7,2.8,15.8,56040,65.4,3.2,18.4,2.5,10.5,44198,62.2,7.7,21.8,1.4,7,56554,41.4,43,11,0.5,4.1
10500,310M100US10500,"Albany, GA Metro Area",6480,0.4,0,0.1,0,99.5,15270,27,0,5,2.1,65.8,9383,55.5,0.2,15.5,4.5,24.2,10380,59.8,1.9,17.3,5,16,8356,63.2,4.2,21.6,2.6,8.4,7479,68.9,16.6,6.9,2.8,4.9,6419,0.8,0,0.5,0,98.8,16631,30.1,0,5.9,3.3,60.6,10738,53.8,1.5,16.6,5.9,22.1,11619,55.1,5.3,20.7,4.3,14.5,9252,56.1,13.7,16.9,4.2,9.3,11039,34.7,48.9,9.6,1.5,5.2
10580,310M100US10580,"Albany-Schenectady-Troy, NY Metro Area",33720,1,0,0,0.2,98.7,83518,25.3,0.1,1.9,1.1,71.6,58862,63.3,0.6,9.2,2.8,24.1,65583,64.9,0.7,12.9,3.8,17.8,51743,71,2,14,2.9,10.1,50008,68.6,15.6,8.1,1.4,6.3,31605,0.4,0.1,0.1,0,99.4,83404,32.8,0.1,3.5,2.5,61.1,60944,65.1,1,12.2,3.9,17.8,68309,62.6,2.5,17.8,4.5,12.7,54616,62.7,7.6,18.1,2.6,8.9,69695,38.6,43.5,9.3,0.9,7.8
10740,310M100US10740,"Albuquerque, NM Metro Area",31174,0.7,0,0,0.1,99.2,90607,31.2,0.3,4.5,1.2,62.8,57197,59,0.6,12.8,2.7,24.9,61306,60.8,1.1,18.6,2.3,17.2,48302,68.5,2.6,17.6,1.6,9.6,44853,70.5,12.7,12.1,0.9,3.9,30032,1.8,0.1,0,0.2,98,89300,37.7,0.4,5.8,1.9,54.2,57644,59.5,1,17.1,3.2,19.1,64864,60.2,2.5,23.7,2.4,11.2,52339,58.4,7.9,24,1.6,8.2,58030,41.3,37.6,15.6,1,4.6
10780,310M100US10780,"Alexandria, LA Metro Area",5855,1,0,0,0,99,14735,33.9,0.1,5.5,1.6,59,9966,57.9,0.2,14.1,5.4,22.4,10813,62.9,1.1,18.8,3.9,13.3,8366,70,3.1,17.2,1.4,8.2,8526,69.4,15.3,7.5,1.5,6.3,5392,2.6,0,0,0.1,97.3,14511,39.2,0.7,6.7,4.4,49,10046,57.6,1.5,20,6,14.9,11245,58,3.9,20.7,5.5,11.8,9080,59.7,10.4,18.3,2.6,8.9,11563,38.3,44.7,11.8,1.2,4.1
10900,310M100US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",30179,0.5,0,0.1,0.1,99.3,69815,30.8,0.1,2.3,1.4,65.4,56422,67.8,0.2,10.1,2.5,19.5,62991,70.3,0.9,14.2,2.6,12,47357,75.8,2.2,12.2,2.1,7.7,50806,71.7,14.7,7.7,1.1,4.7,28132,0.6,0.1,0,0.1,99.2,69642,37.3,0.2,4.5,3.2,54.8,58477,67.4,0.9,11.9,4.8,15,64869,68.6,3.1,15.2,3.3,9.9,50073,67.6,7.1,17,2.4,5.9,70715,40.4,44,9.2,0.9,5.5
11020,310M100US11020,"Altoona, PA Metro Area",4857,0.4,0.1,0.4,0,99.2,10832,33.2,0.1,3.4,1.8,61.5,7941,62.7,0.8,11.8,5.1,19.7,9537,63.4,0.3,18.1,2.6,15.6,7913,72.9,3.1,12.2,2.1,9.6,9053,70.5,14.9,8.7,0.8,5.1,4315,0.7,0,0,0.1,99.1,10776,40.1,0.2,3.9,2.3,53.5,8167,65.3,0.5,13.9,4.1,16.2,9712,62.6,4.4,17.8,4.2,11,8486,66.6,10.2,15,2.9,5.3,13215,40.2,47,7.3,0.7,4.8
11100,310M100US11100,"Amarillo, TX Metro Area",9215,0.5,0.4,0,0.3,98.8,26628,38.6,0.1,4.2,2.4,54.7,16385,62.3,0.5,16.5,4,16.7,17522,68.5,0.9,17,2.6,10.9,12483,71.9,3.3,15.8,2.8,6.2,12421,72.5,15,8.7,0.7,3.1,8810,3.3,0,0,0.5,96.2,26010,41.7,0.5,8.6,4.5,44.8,15371,62.6,1.6,18,6.5,11.3,16915,62.7,5.2,20.6,3.9,7.7,12789,62,8.6,22.5,2.5,4.3,16702,45.3,40.9,11.5,0.7,1.6
11180,310M100US11180,"Ames, IA Metro Area",4996,0.7,0.2,0.1,0,98.9,17306,20.5,0.1,1.9,0.2,77.4,4297,71.9,0,10.3,2.2,15.7,4703,76.8,0.9,10.2,1.2,11,3703,78.9,1.6,12.9,0.4,6.3,3687,81.5,11.1,5.1,0.1,2.3,4437,1.3,0,0.3,0,98.4,13853,30.1,0,2.7,0.6,66.6,4092,72.1,0.3,13.6,1.7,12.3,4855,73,2.2,17.4,1.6,5.8,3795,76,3.9,15.3,0.9,3.8,4988,53.4,36.3,6,0.4,3.8
