GEO.id2,GEO.id,MSA,POP_TOT,POP_MALE,POP_M_18_24,POP_M_18_24_E1,POP_M_18_24_E2,POP_M_18_24_E3,POP_M_18_24_E4,POP_M_18_24_E5,POP_M_18_24_E6,POP_M_18_24_E7,POP_M_25_34,POP_M_25_34_E1,POP_M_25_34_E2,POP_M_25_34_E3,POP_M_25_34_E4,POP_M_25_34_E5,POP_M_25_34_E6,POP_M_25_34_E7,POP_M_35_44,POP_M_35_44_E1,POP_M_35_44_E2,POP_M_35_44_E3,POP_M_35_44_E4,POP_M_35_44_E5,POP_M_35_44_E6,POP_M_35_44_E7,POP_M_45_64,POP_M_45_64_E1,POP_M_45_64_E2,POP_M_45_64_E3,POP_M_45_64_E4,POP_M_45_64_E5,POP_M_45_64_E6,POP_M_45_64_E7,POP_M_65_OVER,POP_M_65_OVER_E1,POP_M_65_OVER_E2,POP_M_65_OVER_E3,POP_M_65_OVER_E4,POP_M_65_OVER_E5,POP_M_65_OVER_E6,POP_M_65_OVER_E7,POP_FEMALE,POP_F_18_24,POP_F_18_24_E1,POP_F_18_24_E2,POP_F_18_24_E3,POP_F_18_24_E4,POP_F_18_24_E5,POP_F_18_24_E6,POP_F_18_24_E7,POP_F_25_34,POP_F_25_34_E1,POP_F_25_34_E2,POP_F_25_34_E3,POP_F_25_34_E4,POP_F_25_34_E5,POP_F_25_34_E6,POP_F_25_34_E7,POP_F_35_44,POP_F_35_44_E1,POP_F_35_44_E2,POP_F_35_44_E3,POP_F_35_44_E4,POP_F_35_44_E5,POP_F_35_44_E6,POP_F_35_44_E7,POP_F_45_64,POP_F_45_64_E1,POP_F_45_64_E2,POP_F_45_64_E3,POP_F_45_64_E4,POP_F_45_64_E5,POP_F_45_64_E6,POP_F_45_64_E7,POP_F_65_OVER,POP_F_65_OVER_E1,POP_F_65_OVER_E2,POP_F_65_OVER_E3,POP_F_65_OVER_E4,POP_F_65_OVER_E5,POP_F_65_OVER_E6,POP_F_65_OVER_E7
10180,310M200US10180,"Abilene, TX Metro Area",128203,64751,12118,319,1487,4317,5051,396,451,97,13047,403,1954,3951,4000,705,1617,417,9861,265,1249,3528,2453,841,1017,508,19405,1484,1699,6500,4079,1265,2868,1510,10320,1087,763,2798,2405,642,1548,1077,63452,10668,74,880,3145,5365,381,756,67,10969,188,888,2662,3532,954,2031,714,8786,324,629,2421,2268,786,1670,688,19595,1173,1585,6119,4850,1322,3188,1358,13434,1231,1190,5068,2869,490,1834,752
10420,310M200US10420,"Akron, OH Metro Area",553060,264855,37603,477,4301,11623,16348,1826,2980,48,42438,524,2302,12059,10092,3784,9764,3913,41204,750,2441,12689,8927,2758,8702,4937,97062,1683,5925,35635,19440,6745,17637,9997,46548,2130,4406,16703,8358,1669,7122,6160,288205,38328,224,3507,9315,18322,2024,4483,453,42856,693,2184,9741,8863,5067,11192,5116,42356,787,1817,9843,8483,5554,9812,6060,103222,1753,5634,35770,21397,9935,18117,10616,61443,2704,7143,27201,10699,2494,6859,4343
10500,310M200US10500,"Albany, GA Metro Area",116795,54176,8221,148,2346,2828,2392,227,221,59,9630,393,1885,3333,2412,598,769,240,9143,327,1236,3309,2253,572,953,493,18594,973,2537,6367,4102,1110,2345,1160,8588,1263,1319,2544,1521,285,958,698,62619,8771,37,1500,2137,4163,458,361,115,10448,171,1219,2282,3476,1290,1338,672,10219,133,1031,2464,3193,1149,1080,1169,21189,787,2456,6701,5422,1731,2119,1973,11992,1656,2137,4215,1895,463,864,762
10540,310M200US10540,"Albany, OR Metro Area",90982,44370,4939,119,809,2057,1697,166,68,23,7369,68,523,2643,2187,657,1076,215,7171,221,536,2012,2088,1018,978,318,15812,262,1239,4888,4931,1858,1903,731,9079,510,946,2957,2292,629,1205,540,46612,5098,122,875,1406,1999,417,269,10,7339,86,431,2131,2410,920,1059,302,7088,80,679,1591,2197,1035,961,545,16264,449,933,4794,5668,1737,1702,981,10823,432,1066,4087,3145,595,850,648
10580,310M200US10580,"Albany-Schenectady-Troy, NY Metro Area",697718,337325,50954,514,4722,15000,21317,3457,5481,463,54807,713,2583,12451,11367,7020,13584,7089,52605,1092,2774,13535,9773,6686,11225,7520,121772,2779,6622,35771,20759,14723,23824,17294,57187,2944,4331,17715,8823,4085,8934,10355,360393,48703,307,3711,10855,21299,4051,7248,1232,54548,419,2106,9672,10371,6545,14405,11030,54016,664,2235,10838,9295,8591,11476,10917,127802,2382,5181,34453,23374,19273,22817,20322,75324,3765,6091,32090,11364,5129,8281,8604
10740,310M200US10740,"Albuquerque, NM Metro Area",689692,335400,44014,937,8288,13471,17552,1699,1862,205,64910,2375,6791,17506,18248,5343,9383,5264,56426,2834,4661,14579,13246,5220,9346,6540,114381,6269,7806,30293,25927,8429,19004,16653,55669,3876,3823,12735,11446,2781,9208,11800,354292,41934,928,6104,9961,19611,2139,2983,208,63288,1605,4877,11599,18641,7216,12749,6601,56418,2617,3601,12116,12733,5408,11946,7997,123182,5249,6538,31126,30306,10393,21603,17967,69470,5957,5477,20751,16346,3630,9076,8233
10780,310M200US10780,"Alexandria, LA Metro Area",116186,56755,7311,346,1461,2983,2083,112,326,0,10643,470,1555,4430,2284,478,1125,301,9782,549,1183,4300,2121,370,776,483,19437,1362,2398,7997,4148,560,1767,1205,9582,916,1200,3175,1898,282,1131,980,59431,6720,144,862,2304,2873,254,283,0,9941,367,1044,3074,3060,659,1275,462,9501,207,675,3007,2508,910,1503,691,20627,808,2157,7349,4987,1749,2214,1363,12642,1007,1707,5308,2218,428,1169,805
10900,310M200US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",647402,311886,38934,550,4738,13344,15456,1720,2930,196,48279,1090,3719,14878,9633,4670,10589,3700,50746,1517,3547,16696,9026,4593,9947,5420,116072,3119,8059,42752,20610,9777,19024,12731,57855,4528,6081,22005,8374,2635,7652,6580,335516,37169,269,3383,10405,16719,2178,3933,282,48436,735,2541,11091,10230,5478,12282,6079,52122,1077,2639,13846,10324,6073,11492,6671,120784,2896,6236,41687,23707,13738,19845,12675,77005,6947,9820,37484,9204,3335,5943,4272
11020,310M200US11020,"Altoona, PA Metro Area",100233,48174,5918,78,512,2727,1824,331,415,31,7171,61,546,3046,1170,527,1502,319,7513,93,411,3264,1367,606,1317,455,17475,276,989,9020,2609,1413,2078,1090,10097,596,1132,5070,1055,507,942,795,52059,5455,24,340,1878,2274,249,645,45,7084,66,446,2346,1330,719,1680,497,7455,65,295,2728,1117,1351,1253,646,18313,297,781,9091,2758,1858,2200,1328,13752,631,1713,8225,1495,413,706,569
11100,310M200US11100,"Amarillo, TX Metro Area",191634,95365,13104,255,2232,4248,5111,857,371,30,19906,1143,2295,5577,5942,1551,2504,894,16836,1128,1767,4157,5098,1241,2313,1132,31448,2379,2602,8672,8052,2621,4612,2510,14071,1545,1037,3337,3548,579,2295,1730,96269,12864,150,1575,3368,6114,661,901,95,18328,597,1638,3306,5745,2279,3654,1109,15448,736,1215,2946,4237,1986,2944,1384,31450,1709,2571,7733,9359,2754,4999,2325,18179,1401,2094,5554,4662,828,2521,1119
