GEO_ID_2,GEO_ID,MSA,GQ_POP
10180,310M200US10180,"Abilene, TX Metro Area",13834
10420,310M200US10420,"Akron, OH Metro Area",15944
10500,310M200US10500,"Albany, GA Metro Area",5691
10540,310M200US10540,"Albany, OR Metro Area",1271
10580,310M200US10580,"Albany-Schenectady-Troy, NY Metro Area",33393
10740,310M200US10740,"Albuquerque, NM Metro Area",13220
10780,310M200US10780,"Alexandria, LA Metro Area",7764
10900,310M200US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",22939
11020,310M200US11020,"Altoona, PA Metro Area",3218
11100,310M200US11100,"Amarillo, TX Metro Area",9441
11180,310M200US11180,"Ames, IA Metro Area",9106
11260,310M200US11260,"Anchorage, AK Metro Area",10048
11460,310M200US11460,"Ann Arbor, MI Metro Area",18366
11500,310M200US11500,"Anniston-Oxford-Jacksonville, AL Metro Area",2798
11540,310M200US11540,"Appleton, WI Metro Area",3413
11700,310M200US11700,"Asheville, NC Metro Area",10301
12020,310M200US12020,"Athens-Clarke County, GA Metro Area",10951
12060,310M200US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",87386
12100,310M200US12100,"Atlantic City-Hammonton, NJ Metro Area",6497
12220,310M200US12220,"Auburn-Opelika, AL Metro Area",5514
12260,310M200US12260,"Augusta-Richmond County, GA-SC Metro Area",16048
12420,310M200US12420,"Austin-Round Rock, TX Metro Area",40382
12540,310M200US12540,"Bakersfield, CA Metro Area",31400
12580,310M200US12580,"Baltimore-Columbia-Towson, MD Metro Area",68766
12620,310M200US12620,"Bangor, ME Metro Area",6873
12700,310M200US12700,"Barnstable Town, MA Metro Area",2979
12940,310M200US12940,"Baton Rouge, LA Metro Area",23285
12980,310M200US12980,"Battle Creek, MI Metro Area",3857
13020,310M200US13020,"Bay City, MI Metro Area",1483
13140,310M200US13140,"Beaumont-Port Arthur, TX Metro Area",17515
13220,310M200US13220,"Beckley, WV Metro Area",5407
13380,310M200US13380,"Bellingham, WA Metro Area",5499
13460,310M200US13460,"Bend-Redmond, OR Metro Area",1313
13740,310M200US13740,"Billings, MT Metro Area",3727
13780,310M200US13780,"Binghamton, NY Metro Area",10891
13820,310M200US13820,"Birmingham-Hoover, AL Metro Area",24315
13900,310M200US13900,"Bismarck, ND Metro Area",3801
13980,310M200US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",13206
14010,310M200US14010,"Bloomington, IL Metro Area",8061
14020,310M200US14020,"Bloomington, IN Metro Area",14729
14100,310M200US14100,"Bloomsburg-Berwick, PA Metro Area",4829
14260,310M200US14260,"Boise City, ID Metro Area",11093
14460,310M200US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",166787
14500,310M200US14500,"Boulder, CO Metro Area",10175
14540,310M200US14540,"Bowling Green, KY Metro Area",7443
14740,310M200US14740,"Bremerton-Silverdale, WA Metro Area",7436
14860,310M200US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",18399
15180,310M200US15180,"Brownsville-Harlingen, TX Metro Area",3757
15260,310M200US15260,"Brunswick, GA Metro Area",1460
15380,310M200US15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",32154
15500,310M200US15500,"Burlington, NC Metro Area",4498
15540,310M200US15540,"Burlington-South Burlington, VT Metro Area",10278
15680,310M200US15680,"California-Lexington Park, MD Metro Area",2764
15940,310M200US15940,"Canton-Massillon, OH Metro Area",9528
15980,310M200US15980,"Cape Coral-Fort Myers, FL Metro Area",9945
16020,310M200US16020,"Cape Girardeau, MO-IL Metro Area",4015
16060,310M200US16060,"Carbondale-Marion, IL Metro Area",6235
16180,310M200US16180,"Carson City, NV Metro Area",1991
16220,310M200US16220,"Casper, WY Metro Area",1610
16300,310M200US16300,"Cedar Rapids, IA Metro Area",6770
16540,310M200US16540,"Chambersburg-Waynesboro, PA Metro Area",2238
16580,310M200US16580,"Champaign-Urbana, IL Metro Area",16451
16620,310M200US16620,"Charleston, WV Metro Area",3503
