GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_INC1,HH_INC2,HH_INC3,HH_INC4,HH_INC5,HH_INC6,HH_INC7,HH_INC8,HH_INC9,HH_INC10,HH_INC11,HH_INC12,HH_INC13,HH_INC14,HH_INC15,HH_INC16
10180,310M200US10180,"Abilene, TX Metro Area",60238,4969,3991,3817,3616,3559,3838,3162,3293,2606,5521,6059,6517,3879,1961,1839,1611
10420,310M200US10420,"Akron, OH Metro Area",281957,22578,15305,15353,15002,14896,14765,13646,14052,12135,23771,29006,34339,22149,12946,11608,10406
10500,310M200US10500,"Albany, GA Metro Area",57997,8703,4209,3618,3972,3801,3105,3166,2953,2242,4445,4980,5263,3127,1630,1647,1136
10540,310M200US10540,"Albany, OR Metro Area",45100,3518,2893,2943,2802,2917,2291,2424,2496,2031,4458,5142,5843,2523,1339,928,552
10580,310M200US10580,"Albany-Schenectady-Troy, NY Metro Area",345988,18787,15975,15044,15786,14716,14999,14495,15116,13425,27859,37434,48076,35181,21761,21727,15607
10740,310M200US10740,"Albuquerque, NM Metro Area",343434,30632,19744,20848,20522,18176,19182,16087,16102,14549,27556,33929,39597,25785,14529,14698,11498
10780,310M200US10780,"Alexandria, LA Metro Area",54871,5544,3948,4529,3340,3297,3548,2839,3006,2164,4346,4695,5607,3532,1921,1412,1143
10900,310M200US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",314305,15836,14444,15199,15206,15030,14738,13957,14515,14366,27091,33582,43220,28235,17636,17195,14055
11020,310M200US11020,"Altoona, PA Metro Area",51034,4015,3456,3398,3415,3282,2866,3003,2514,2218,4446,5539,6106,3132,1298,1164,1182
11100,310M200US11100,"Amarillo, TX Metro Area",95644,6559,5497,5702,5813,4982,5813,4337,4820,3899,8269,9409,11443,7940,4466,3967,2728
11180,310M200US11180,"Ames, IA Metro Area",35901,3967,2086,2013,1926,1699,1499,1569,1483,1544,2686,3861,4504,2776,1647,1417,1224
11260,310M200US11260,"Anchorage, AK Metro Area",136273,4413,3963,4344,4626,4132,4680,5068,6103,4695,9474,14760,20202,16659,10901,12407,9846
11460,310M200US11460,"Ann Arbor, MI Metro Area",138067,10705,5462,5897,6338,6029,6652,5688,6233,5292,9705,12308,16303,13162,8524,9770,9999
11500,310M200US11500,"Anniston-Oxford-Jacksonville, AL Metro Area",45154,4680,3441,2863,3064,2746,2703,1991,2816,1890,4354,4403,4379,2738,1498,985,603
11540,310M200US11540,"Appleton, WI Metro Area",89088,3357,3502,3873,4326,3964,4293,4116,4143,4254,8040,10895,14343,8942,4993,3476,2571
11700,310M200US11700,"Asheville, NC Metro Area",182500,12975,12766,12121,10612,11827,11062,10215,10216,8541,15851,18066,19533,12425,5885,5663,4742
12020,310M200US12020,"Athens-Clarke County, GA Metro Area",70973,10008,4742,4690,4367,4192,3959,3305,3404,2690,5081,5942,7061,4346,2607,2169,2410
12060,310M200US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1964316,131642,86285,88845,97470,92027,99311,90517,96155,81591,159182,202848,240656,167625,103478,110899,115785
12100,310M200US12100,"Atlantic City-Hammonton, NJ Metro Area",101818,7162,4883,5917,4988,5117,5496,4217,4969,4294,8347,10130,12071,8545,5535,5442,4705
12220,310M200US12220,"Auburn-Opelika, AL Metro Area",57171,7709,3811,3235,3392,2681,2775,2648,2501,2464,4291,4929,6511,4194,2184,2216,1630
12260,310M200US12260,"Augusta-Richmond County, GA-SC Metro Area",209672,20038,12918,13251,12418,11665,10679,10594,10587,8350,16398,20115,24719,15629,8650,8006,5655
