GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_FAM_2P,HH_FAM_3P,HH_FAM_4P,HH_FAM_5P,HH_FAM_6P,HH_FAM_7P,HH_NON_FAMILY,HH_NON_FAM_1P,HH_NON_FAM_2P,HH_NON_FAM_3P,HH_NON_FAM_4P,HH_NON_FAM_5P,HH_NON_FAM_6P,HH_NON_FAM_7P
10180,310M200US10180,"Abilene, TX Metro Area",60238,39448,19477,8358,6497,3067,1356,693,20790,16914,2937,726,168,25,17,3
10420,310M200US10420,"Akron, OH Metro Area",281957,178180,83794,41070,33157,13299,4440,2420,103777,85335,15276,1918,904,211,85,48
10500,310M200US10500,"Albany, GA Metro Area",57997,38646,17942,9518,6708,2637,1090,751,19351,16751,2228,229,97,11,22,13
10540,310M200US10540,"Albany, OR Metro Area",45100,30709,14640,6429,5433,2560,964,683,14391,11144,2714,292,197,44,0,0
10580,310M200US10580,"Albany-Schenectady-Troy, NY Metro Area",345988,208866,99387,49199,38776,14495,4885,2124,137122,110091,23464,2770,557,143,77,20
10740,310M200US10740,"Albuquerque, NM Metro Area",343434,217748,96684,49539,40776,18958,7845,3946,125686,103386,19800,1803,532,95,29,41
10780,310M200US10780,"Alexandria, LA Metro Area",54871,36598,16059,9339,6473,3184,1131,412,18273,16077,1935,135,29,71,16,10
10900,310M200US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",314305,214409,93722,50501,42288,18871,6030,2997,99896,81216,16295,1422,659,167,62,75
11020,310M200US11020,"Altoona, PA Metro Area",51034,32758,15404,7477,5768,2764,1066,279,18276,15668,2183,181,192,52,0,0
11100,310M200US11100,"Amarillo, TX Metro Area",95644,63764,27940,13994,12499,5532,2577,1222,31880,26326,4490,686,257,116,0,5
11180,310M200US11180,"Ames, IA Metro Area",35901,18895,9821,3708,3386,1465,372,143,17006,9682,4457,1514,1231,82,40,0
11260,310M200US11260,"Anchorage, AK Metro Area",136273,91970,37163,22379,17577,8468,3455,2928,44303,33731,8938,1268,271,65,19,11
11460,310M200US11460,"Ann Arbor, MI Metro Area",138067,79373,35762,18099,16271,6305,1815,1121,58694,42280,11908,2157,1400,321,447,181
11500,310M200US11500,"Anniston-Oxford-Jacksonville, AL Metro Area",45154,30581,14159,7771,4953,2279,951,468,14573,12563,1704,211,83,12,0,0
11540,310M200US11540,"Appleton, WI Metro Area",89088,61531,28079,13081,12345,5367,1821,838,27557,22174,4868,387,102,12,14,0
11700,310M200US11700,"Asheville, NC Metro Area",182500,113150,62423,23005,17938,6081,2558,1145,69350,57535,10110,1279,249,102,75,0
12020,310M200US12020,"Athens-Clarke County, GA Metro Area",70973,41405,18962,9617,7759,3287,1174,606,29568,21016,5896,1443,1086,96,31,0
12060,310M200US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1964316,1331952,523001,318396,285867,128198,47967,28523,632364,520718,93218,12578,4183,1260,237,170
12100,310M200US12100,"Atlantic City-Hammonton, NJ Metro Area",101818,68395,27362,16751,13256,6660,2718,1648,33423,27846,4625,485,371,72,15,9
12220,310M200US12220,"Auburn-Opelika, AL Metro Area",57171,35939,15062,9487,7331,2858,823,378,21232,15564,3946,1141,518,47,0,16
12260,310M200US12260,"Augusta-Richmond County, GA-SC Metro Area",209672,142657,64856,34834,25478,10967,4234,2288,67015,58321,7602,879,182,31,0,0
12420,310M200US12420,"Austin-Round Rock, TX Metro Area",689278,428451,172129,99723,91888,40960,14563,9188,260827,191121,55586,9251,4121,423,207,118
12540,310M200US12540,"Bakersfield, CA Metro Area",259700,196097,63136,40420,41615,27735,14515,8676,63603,50633,10419,1767,550,134,100,0
12580,310M200US12580,"Baltimore-Columbia-Towson, MD Metro Area",1036312,675620,282875,164377,136397,59355,20403,12213,360692,293646,55198,7990,2752,734,305,67
12620,310M200US12620,"Bangor, ME Metro Area",61973,38306,20268,8026,6366,2195,975,476,23667,17493,4899,886,320,55,0,14
12700,310M200US12700,"Barnstable Town, MA Metro Area",94417,58063,33356,11212,8763,3098,1020,614,36354,31082,4568,477,167,26,34,0
12940,310M200US12940,"Baton Rouge, LA Metro Area",300913,199154,86336,49512,36936,16527,6319,3524,101759,83024,14306,3252,848,86,180,63
12980,310M200US12980,"Battle Creek, MI Metro Area",52850,33625,15716,7840,5910,2667,946,546,19225,16339,2536,234,64,26,26,0
13020,310M200US13020,"Bay City, MI Metro Area",43565,27869,13910,5850,5058,2148,559,344,15696,13126,2194,236,100,26,14,0
13140,310M200US13140,"Beaumont-Port Arthur, TX Metro Area",151173,99977,44024,23480,18352,9087,3477,1557,51196,44839,5289,758,146,133,10,21
13220,310M200US13220,"Beckley, WV Metro Area",48943,32877,16130,8404,4540,2524,675,604,16066,13662,2004,278,81,41,0,0
13380,310M200US13380,"Bellingham, WA Metro Area",79767,49259,24188,10173,9222,3372,1339,965,30508,21831,6108,1455,850,249,8,7
13460,310M200US13460,"Bend-Redmond, OR Metro Area",66337,44349,24226,8371,7368,2791,968,625,21988,16726,4362,631,246,17,6,0
13740,310M200US13740,"Billings, MT Metro Area",66242,41564,20493,8212,7535,3366,1167,791,24678,20070,3561,586,352,109,0,0
13780,310M200US13780,"Binghamton, NY Metro Area",99004,60778,29031,13796,11111,4448,1436,956,38226,31061,5828,624,466,123,25,99
13820,310M200US13820,"Birmingham-Hoover, AL Metro Area",438124,294187,134482,71145,55390,22264,7426,3480,143937,125541,15272,2134,704,155,113,18
13900,310M200US13900,"Bismarck, ND Metro Area",51259,32488,15439,6977,6119,2855,750,348,18771,14565,3252,777,112,61,2,2
13980,310M200US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",68796,40392,21159,8284,7229,2618,572,530,28404,19241,5647,2140,1257,52,25,42
14010,310M200US14010,"Bloomington, IL Metro Area",72186,44969,21247,9499,8830,3710,1187,496,27217,20358,4553,1148,1105,46,7,0
14020,310M200US14020,"Bloomington, IN Metro Area",62718,33796,16943,8036,5645,2006,767,399,28922,20071,5950,1784,696,352,29,40
14100,310M200US14100,"Bloomsburg-Berwick, PA Metro Area",33558,21422,10691,4517,4041,1409,544,220,12136,9508,1956,378,112,71,55,56
14260,310M200US14260,"Boise City, ID Metro Area",236303,161047,68932,33089,31466,16783,6321,4456,75256,60473,11986,2058,528,125,54,32
14460,310M200US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1776440,1129245,460751,273552,248796,100323,31106,14717,647195,499982,115932,20707,8005,1747,627,195
14500,310M200US14500,"Boulder, CO Metro Area",122516,72418,33522,15841,14623,5782,1933,717,50098,33899,11504,2969,1237,378,38,73
14540,310M200US14540,"Bowling Green, KY Metro Area",62996,41939,19527,9606,7285,3533,1256,732,21057,16727,3357,628,268,36,35,6
14740,310M200US14740,"Bremerton-Silverdale, WA Metro Area",97739,65501,31495,14884,12183,4183,1764,992,32238,25645,5420,725,146,240,53,9
14860,310M200US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",334320,232921,90247,54189,54317,23454,6995,3719,101399,83773,14209,2007,1019,281,89,21
15180,310M200US15180,"Brownsville-Harlingen, TX Metro Area",121097,95991,29066,19993,20358,14452,6890,5232,25106,22216,2506,236,60,54,6,28
15260,310M200US15260,"Brunswick, GA Metro Area",44188,30332,15173,6777,4576,2374,977,455,13856,12008,1597,104,141,0,6,0
15380,310M200US15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",470653,284789,132806,67181,52502,21390,7360,3550,185864,156084,25029,3303,1057,319,57,15
15500,310M200US15500,"Burlington, NC Metro Area",61545,40938,19167,9681,7613,3042,928,507,20607,17811,2322,360,103,11,0,0
15540,310M200US15540,"Burlington-South Burlington, VT Metro Area",85148,52010,24397,11804,10721,3283,1234,571,33138,22707,8087,1430,617,229,68,0
15680,310M200US15680,"California-Lexington Park, MD Metro Area",38243,27741,11188,6141,6024,2607,1105,676,10502,8430,1735,239,62,0,0,36
15940,310M200US15940,"Canton-Massillon, OH Metro Area",161357,106626,51731,22785,18792,8662,3079,1577,54731,46201,7276,954,218,49,10,23
15980,310M200US15980,"Cape Coral-Fort Myers, FL Metro Area",252287,165635,96902,29555,22456,10532,4122,2068,86652,71171,13826,1174,326,93,14,48
16020,310M200US16020,"Cape Girardeau, MO-IL Metro Area",37192,23995,11555,5753,4174,1435,677,401,13197,10723,1860,331,147,79,16,41
16060,310M200US16060,"Carbondale-Marion, IL Metro Area",50186,30141,15509,6379,5632,1849,521,251,20045,16135,3049,555,269,16,21,0
16180,310M200US16180,"Carson City, NV Metro Area",21594,13012,5963,2845,2603,1096,411,94,8582,7035,1377,97,73,0,0,0
16220,310M200US16220,"Casper, WY Metro Area",32131,20267,9901,4043,3811,1613,636,263,11864,9615,1909,187,121,0,32,0
16300,310M200US16300,"Cedar Rapids, IA Metro Area",105643,67536,32129,14425,13065,5033,1956,928,38107,30250,6892,512,412,29,12,0
16540,310M200US16540,"Chambersburg-Waynesboro, PA Metro Area",58570,40598,19670,8723,7121,2923,1431,730,17972,15338,2100,421,24,68,21,0
16580,310M200US16580,"Champaign-Urbana, IL Metro Area",92183,50887,24520,11100,9142,4312,1226,587,41296,30449,7356,1886,1410,142,1,52
16620,310M200US16620,"Charleston, WV Metro Area",95257,60078,30382,13943,10478,3623,1077,575,35179,29928,4514,536,162,39,0,0
16700,310M200US16700,"Charleston-North Charleston, SC Metro Area",268904,173525,79741,41848,33386,12336,4101,2113,95379,76042,15279,2963,879,194,15,7
16740,310M200US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",871519,588954,252894,142027,117510,50378,16568,9577,282565,231691,41410,6710,2030,604,113,7
16820,310M200US16820,"Charlottesville, VA Metro Area",85549,52906,25719,11260,10064,3995,975,893,32643,24957,5787,1027,711,80,41,40
16860,310M200US16860,"Chattanooga, TN-GA Metro Area",209412,141337,66403,34325,25069,10119,3740,1681,68075,57584,8885,1151,391,47,6,11
16940,310M200US16940,"Cheyenne, WY Metro Area",37294,24950,12848,4807,4479,1708,743,365,12344,9991,1985,239,105,0,24,0
16980,310M200US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3448499,2274045,872006,521755,485687,241613,92724,60260,1174454,974649,167125,22549,7428,1809,604,290
17020,310M200US17020,"Chico, CA Metro Area",85318,50963,24063,11566,9244,3870,1234,986,34355,24602,7280,1575,677,195,17,9
17140,310M200US17140,"Cincinnati, OH-KY-IN Metro Area",822679,539212,240124,122230,105578,46782,16098,8400,283467,233794,40948,5167,2711,507,226,114
17300,310M200US17300,"Clarksville, TN-KY Metro Area",97769,70077,28147,17903,13585,6613,2358,1471,27692,22539,4238,528,300,85,0,2
17420,310M200US17420,"Cleveland, TN Metro Area",45211,31204,13832,7793,5494,2424,1268,393,14007,12082,1598,226,90,0,11,0
