GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_MAR_FAM,HH_OTHER_FAM,HH_MALE_FAM,HH_FEMALE_FAM,HH_NON_FAMILY,HH_LIVING_ALONE,HH_NOT_LIVING_ALONE
10180,310M200US10180,"Abilene, TX Metro Area",60238,39448,29380,10068,2663,7405,20790,16914,3876
10420,310M200US10420,"Akron, OH Metro Area",281957,178180,130090,48090,11666,36424,103777,85335,18442
10500,310M200US10500,"Albany, GA Metro Area",57997,38646,23291,15355,3101,12254,19351,16751,2600
10540,310M200US10540,"Albany, OR Metro Area",45100,30709,23365,7344,2030,5314,14391,11144,3247
10580,310M200US10580,"Albany-Schenectady-Troy, NY Metro Area",345988,208866,157850,51016,13591,37425,137122,110091,27031
10740,310M200US10740,"Albuquerque, NM Metro Area",343434,217748,150186,67562,20462,47100,125686,103386,22300
10780,310M200US10780,"Alexandria, LA Metro Area",54871,36598,25016,11582,2692,8890,18273,16077,2196
10900,310M200US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",314305,214409,162317,52092,14156,37936,99896,81216,18680
11020,310M200US11020,"Altoona, PA Metro Area",51034,32758,24900,7858,2213,5645,18276,15668,2608
11100,310M200US11100,"Amarillo, TX Metro Area",95644,63764,46503,17261,4226,13035,31880,26326,5554
11180,310M200US11180,"Ames, IA Metro Area",35901,18895,16047,2848,794,2054,17006,9682,7324
11260,310M200US11260,"Anchorage, AK Metro Area",136273,91970,68743,23227,7657,15570,44303,33731,10572
11460,310M200US11460,"Ann Arbor, MI Metro Area",138067,79373,61941,17432,4257,13175,58694,42280,16414
11500,310M200US11500,"Anniston-Oxford-Jacksonville, AL Metro Area",45154,30581,21309,9272,1770,7502,14573,12563,2010
11540,310M200US11540,"Appleton, WI Metro Area",89088,61531,49709,11822,3891,7931,27557,22174,5383
11700,310M200US11700,"Asheville, NC Metro Area",182500,113150,89229,23921,6211,17710,69350,57535,11815
12020,310M200US12020,"Athens-Clarke County, GA Metro Area",70973,41405,30035,11370,2898,8472,29568,21016,8552
12060,310M200US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1964316,1331952,945617,386335,92723,293612,632364,520718,111646
12100,310M200US12100,"Atlantic City-Hammonton, NJ Metro Area",101818,68395,45620,22775,5705,17070,33423,27846,5577
12220,310M200US12220,"Auburn-Opelika, AL Metro Area",57171,35939,25477,10462,2450,8012,21232,15564,5668
12260,310M200US12260,"Augusta-Richmond County, GA-SC Metro Area",209672,142657,97745,44912,9360,35552,67015,58321,8694
12420,310M200US12420,"Austin-Round Rock, TX Metro Area",689278,428451,324941,103510,29887,73623,260827,191121,69706
12540,310M200US12540,"Bakersfield, CA Metro Area",259700,196097,132357,63740,20621,43119,63603,50633,12970
12580,310M200US12580,"Baltimore-Columbia-Towson, MD Metro Area",1036312,675620,475103,200517,48302,152215,360692,293646,67046
12620,310M200US12620,"Bangor, ME Metro Area",61973,38306,29763,8543,2948,5595,23667,17493,6174
12700,310M200US12700,"Barnstable Town, MA Metro Area",94417,58063,46796,11267,2810,8457,36354,31082,5272
12940,310M200US12940,"Baton Rouge, LA Metro Area",300913,199154,134215,64939,16393,48546,101759,83024,18735
12980,310M200US12980,"Battle Creek, MI Metro Area",52850,33625,23434,10191,2658,7533,19225,16339,2886
13020,310M200US13020,"Bay City, MI Metro Area",43565,27869,20999,6870,1861,5009,15696,13126,2570
13140,310M200US13140,"Beaumont-Port Arthur, TX Metro Area",151173,99977,69358,30619,7744,22875,51196,44839,6357
13220,310M200US13220,"Beckley, WV Metro Area",48943,32877,24348,8529,2281,6248,16066,13662,2404
13380,310M200US13380,"Bellingham, WA Metro Area",79767,49259,38343,10916,3105,7811,30508,21831,8677
13460,310M200US13460,"Bend-Redmond, OR Metro Area",66337,44349,35453,8896,2889,6007,21988,16726,5262
13740,310M200US13740,"Billings, MT Metro Area",66242,41564,31858,9706,3211,6495,24678,20070,4608
13780,310M200US13780,"Binghamton, NY Metro Area",99004,60778,45102,15676,4705,10971,38226,31061,7165
13820,310M200US13820,"Birmingham-Hoover, AL Metro Area",438124,294187,210140,84047,17247,66800,143937,125541,18396
13900,310M200US13900,"Bismarck, ND Metro Area",51259,32488,26033,6455,1789,4666,18771,14565,4206
13980,310M200US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",68796,40392,31562,8830,2510,6320,28404,19241,9163
14010,310M200US14010,"Bloomington, IL Metro Area",72186,44969,35722,9247,2809,6438,27217,20358,6859
