GEO.id2,GEO.id,STATE,POP_TOT,POP_MALE,POP_M_18_24,POP_M_18_24_E1,POP_M_18_24_E2,POP_M_18_24_E3,POP_M_18_24_E4,POP_M_18_24_E5,POP_M_18_24_E6,POP_M_18_24_E7,POP_M_25_34,POP_M_25_34_E1,POP_M_25_34_E2,POP_M_25_34_E3,POP_M_25_34_E4,POP_M_25_34_E5,POP_M_25_34_E6,POP_M_25_34_E7,POP_M_35_44,POP_M_35_44_E1,POP_M_35_44_E2,POP_M_35_44_E3,POP_M_35_44_E4,POP_M_35_44_E5,POP_M_35_44_E6,POP_M_35_44_E7,POP_M_45_64,POP_M_45_64_E1,POP_M_45_64_E2,POP_M_45_64_E3,POP_M_45_64_E4,POP_M_45_64_E5,POP_M_45_64_E6,POP_M_45_64_E7,POP_M_65_OVER,POP_M_65_OVER_E1,POP_M_65_OVER_E2,POP_M_65_OVER_E3,POP_M_65_OVER_E4,POP_M_65_OVER_E5,POP_M_65_OVER_E6,POP_M_65_OVER_E7,POP_FEMALE,POP_F_18_24,POP_F_18_24_E1,POP_F_18_24_E2,POP_F_18_24_E3,POP_F_18_24_E4,POP_F_18_24_E5,POP_F_18_24_E6,POP_F_18_24_E7,POP_F_25_34,POP_F_25_34_E1,POP_F_25_34_E2,POP_F_25_34_E3,POP_F_25_34_E4,POP_F_25_34_E5,POP_F_25_34_E6,POP_F_25_34_E7,POP_F_35_44,POP_F_35_44_E1,POP_F_35_44_E2,POP_F_35_44_E3,POP_F_35_44_E4,POP_F_35_44_E5,POP_F_35_44_E6,POP_F_35_44_E7,POP_F_45_64,POP_F_45_64_E1,POP_F_45_64_E2,POP_F_45_64_E3,POP_F_45_64_E4,POP_F_45_64_E5,POP_F_45_64_E6,POP_F_45_64_E7,POP_F_65_OVER,POP_F_65_OVER_E1,POP_F_65_OVER_E2,POP_F_65_OVER_E3,POP_F_65_OVER_E4,POP_F_65_OVER_E5,POP_F_65_OVER_E6,POP_F_65_OVER_E7
1,0400000US01,Alabama,3718646,1773950,241337,5870,39399,80453,94006,7677,13241,691,305013,12824,36245,95589,72272,20892,48954,18237,297360,13519,33522,92214,65143,22640,46701,23621,620929,29339,67819,206754,129643,44008,88359,55007,309311,31227,35010,95563,57662,13176,42190,34483,1944696,237958,3738,28554,65062,107507,11910,19600,1587,316579,8662,27891,73955,82011,31715,64460,27885,312055,9823,23808,76827,74436,36594,56684,33883,668089,22026,58789,208372,155124,64159,97161,62458,410015,39465,59922,156021,74889,18151,34303,27264
2,0400000US02,Alaska,545248,287259,46115,499,7013,18445,16778,1501,1806,73,60647,732,3895,19633,18930,4936,9721,2800,47646,785,2029,15726,13119,3611,7787,4589,100485,2234,4899,30925,28324,7855,15901,10347,32366,2508,2000,8166,8185,1545,5313,4649,257989,34693,190,5311,12098,12757,1417,2805,115,53531,802,2569,12187,16676,4496,12630,4171,43970,611,1722,9896,12075,4371,9797,5498,92455,2152,3761,24109,25359,9064,16983,11027,33340,3679,2115,8682,8315,1841,5069,3639
3,0400000US04,Arizona,5024639,2473872,343092,7873,59352,114118,127623,14305,18557,1264,455242,21072,48664,119425,123072,37308,76995,28706,420309,29450,39712,98412,102034,35075,74505,41121,787155,49887,57684,193206,196594,66967,136117,86700,468074,33185,28603,107236,112563,29089,85449,71949,2550767,320243,6202,43463,89433,135276,18769,25259,1841,430931,16475,35127,90873,118500,44026,89217,36713,413103,25733,33402,84516,102870,38953,81577,46052,834489,50299,53258,198385,223291,83545,139755,85956,552001,45314,41380,171712,139791,35606,69810,48388
4,0400000US05,Arkansas,2250387,1089826,146323,2889,20342,53321,56076,5405,7801,489,192463,7030,18730,68343,47880,11396,28873,10211,182252,9100,17004,66712,38630,11199,26067,13540,368413,19387,37677,141792,77587,19222,46451,26297,200375,21154,21882,68146,39891,6384,24231,18687,1160561,141323,1590,15167,40638,64245,7537,11296,850,192205,5699,14303,50903,52024,18661,34713,15902,184397,7334,12944,51732,44815,17696,32510,17366,389348,15967,31930,135420,90786,30497,54404,30344,253288,25290,33668,102229,49127,8471,20492,14011
5,0400000US06,California,29247121,14399409,2063062,46175,286970,646770,848761,81010,142655,10721,2878392,177775,285276,691622,687274,197242,608609,230594,2596114,257645,269652,554632,520836,168851,509655,314843,4749737,507054,380462,973437,1037348,357332,895813,598291,2112104,264014,144348,391428,412761,151013,393283,355257,14847712,1926201,27086,193628,503751,879749,109281,198496,14210,2735946,132407,205473,510094,656938,238585,696304,296145,2581815,238918,226014,465488,526460,211110,564261,349564,4918534,541477,343943,966903,1114130,460029,944133,547919,2685216,413231,211952,678220,561140,186160,390538,243975
6,0400000US08,Colorado,4037050,2013463,269367,4230,39032,81425,111521,9859,21779,1521,405249,13945,29568,95753,97353,31491,104461,32678,367808,17787,23172,72849,80013,29675,93583,50729,679805,25461,32623,153835,150035,56604,156785,104462,291234,15083,15510,63526,60480,15558,62556,58521,2023587,247506,3068,27889,62346,109212,11487,31517,1987,377296,9071,20319,64824,85766,35677,113934,47705,348980,13514,17402,56327,71833,34052,96342,59510,696199,21209,28623,150981,161143,69890,164477,99876,353606,19811,24124,109230,84199,19854,55839,40549
7,0400000US09,Connecticut,2808486,1350339,178091,3702,21838,57857,68165,5717,19165,1647,219412,7810,13253,61950,44049,13325,53830,25195,219088,8842,12264,60340,37842,13553,48779,37468,501887,16957,27330,147136,85938,33193,104780,86553,231861,18755,19866,63861,33153,11003,40935,44288,1458147,167540,1736,14979,41147,76335,6992,23832,2519,217266,4246,9910,41672,43514,17239,60580,40105,229752,5720,10450,46299,41869,21613,56658,47143,533172,16172,23607,135749,97397,55395,113337,91515,310417,27223,27452,116966,46367,17968,37102,37339
8,0400000US10,Delaware,722300,344736,45858,1272,7099,15580,16295,1676,3333,603,59535,2901,5596,17426,12328,4025,11938,5321,54172,2580,4070,16618,10727,3592,9804,6781,119999,3684,9246,40946,23084,8096,20783,14160,65172,4082,6129,19642,11607,3548,9902,10262,377564,45324,625,4577,12873,19629,2022,5152,446,60577,1993,4301,12889,14073,4900,14144,8277,57257,1972,2761,14201,11117,5314,13066,8826,132370,3207,7547,41756,27210,13005,23181,16464,82036,4546,8758,32758,14397,5124,9323,7130
9,0400000US11,District of Columbia,536179,250627,37675,661,4718,9571,14869,711,6623,522,68011,1727,3062,8582,7036,1627,24098,21879,44906,2039,1812,7062,5495,1413,10654,16431,70392,3501,5909,15739,10730,2345,12923,19245,29643,2620,3195,5707,3788,676,4074,9583,285552,44552,310,2929,9000,19117,1411,10728,1057,77466,1254,2552,8233,8403,1639,25529,29856,45035,1501,1427,7799,6042,1692,9600,16974,74843,3295,6326,16973,13235,3204,12844,18966,43656,3439,4771,11602,7304,1444,6158,8938
10,0400000US12,Florida,15604649,7534587,913528,23910,149695,304898,310679,66279,54106,3961,1244177,57007,119271,378915,270398,125422,215788,77376,1202796,60764,103124,359307,236384,116742,217580,108895,2539646,116380,207312,771418,510895,221384,447056,265201,1634440,130989,132710,438334,316548,92404,287354,236101,8070062,866916,12990,105328,229952,338139,94028,79359,7120,1224768,34909,76298,289300,277254,156107,277405,113495,1224499,42151,73429,300772,257065,154773,256313,139996,2737328,110671,176266,804798,597345,305496,480584,262168,2016551,184186,188799,731408,392806,124516,236475,158361
