GEO_ID_2,GEO_ID,MSA,GQ_POP
1,0400000US01,Alabama,117375
2,0400000US02,Alaska,27349
3,0400000US04,Arizona,150768
4,0400000US05,Arkansas,82332
5,0400000US06,California,816854
6,0400000US08,Colorado,116576
7,0400000US09,Connecticut,118169
8,0400000US10,Delaware,25275
9,0400000US11,District of Columbia,40225
10,0400000US12,Florida,430146
11,0400000US13,Georgia,261505
12,0400000US15,Hawaii,43772
13,0400000US16,Idaho,29850
14,0400000US17,Illinois,300455
15,0400000US18,Indiana,188753
16,0400000US19,Iowa,100444
17,0400000US20,Kansas,79105
18,0400000US21,Kentucky,128578
19,0400000US22,Louisiana,128349
20,0400000US23,Maine,35682
21,0400000US24,Maryland,140480
22,0400000US25,Massachusetts,249219
23,0400000US26,Michigan,226966
24,0400000US27,Minnesota,135021
25,0400000US28,Mississippi,95051
26,0400000US29,Missouri,174514
27,0400000US30,Montana,28838
28,0400000US31,Nebraska,51902
29,0400000US32,Nevada,36458
30,0400000US33,New Hampshire,41034
31,0400000US34,New Jersey,186722
32,0400000US35,New Mexico,43026
33,0400000US36,New York,579255
34,0400000US37,North Carolina,253681
35,0400000US38,North Dakota,26390
36,0400000US39,Ohio,310714
37,0400000US40,Oklahoma,110056
38,0400000US41,Oregon,87072
39,0400000US42,Pennsylvania,430033
40,0400000US44,Rhode Island,41534
41,0400000US45,South Carolina,137490
42,0400000US46,South Dakota,34005
43,0400000US47,Tennessee,154043
44,0400000US48,Texas,593158
45,0400000US49,Utah,46423
46,0400000US50,Vermont,25442
47,0400000US51,Virginia,242697
48,0400000US53,Washington,140974
49,0400000US54,West Virginia,48916
50,0400000US55,Wisconsin,148804
51,0400000US56,Wyoming,14141
