GEO_ID_2,GEO_ID,STATE,HH_TOT,HH_INC1,HH_INC2,HH_INC3,HH_INC4,HH_INC5,HH_INC6,HH_INC7,HH_INC8,HH_INC9,HH_INC10,HH_INC11,HH_INC12,HH_INC13,HH_INC14,HH_INC15,HH_INC16
1,0400000US01,Alabama,1848325,182268,129587,119935,118284,109210,102957,92863,91447,76868,146478,173281,201140,125096,66727,62075,50109
2,0400000US02,Alaska,250969,9503,8611,8859,9715,8504,9598,9766,11090,8587,18269,27537,37480,28549,18824,20786,15291
3,0400000US04,Arizona,2412212,185629,125386,130674,137391,131797,135872,120537,125232,107215,202142,244371,285636,183806,104914,99975,91635
4,0400000US05,Arkansas,1138025,104645,85977,78308,79037,70859,70216,61971,59437,51258,94357,106582,113603,68160,35415,30720,27480
5,0400000US06,California,12717801,742545,646023,595038,611018,561338,573263,526748,525734,476229,920488,1197858,1542550,1146828,755700,886811,1009630
6,0400000US08,Colorado,2024468,119023,83049,86030,96028,90341,98142,89975,93977,83738,161270,209934,267561,186969,115272,125268,117891
7,0400000US09,Connecticut,1352583,78177,52344,56078,56122,52008,52407,48860,50637,47344,93751,125656,173741,132904,91917,109075,131562
8,0400000US10,Delaware,344022,19788,13238,15159,15872,15957,16477,15386,15826,14306,28519,36940,46953,31843,19793,20520,17445
9,0400000US11,District of Columbia,273390,27878,11460,10049,10276,8886,9464,8143,9898,8169,16387,21638,29547,24908,17106,22697,36884
10,0400000US12,Florida,7300494,566780,409233,434008,451883,424956,422183,387580,377305,328374,604552,722450,806959,507534,281061,278520,297116
11,0400000US13,Georgia,3574362,309272,203138,196729,203990,189444,191684,176305,176083,151180,287912,354485,407295,264418,154213,155790,152424
12,0400000US15,Hawaii,450572,25611,15484,15798,16968,16125,16803,16979,17931,17187,34065,49308,64097,50779,30860,34172,28405
13,0400000US16,Idaho,589320,41274,32270,34210,35627,35093,37063,31396,32671,28268,51802,64825,70636,40080,21204,17682,15219
14,0400000US17,Illinois,4786388,343101,217426,238477,238802,219983,229746,212017,211604,186448,369853,481803,609496,420268,256237,272382,278745
15,0400000US18,Indiana,2501937,181044,134385,144148,143227,139796,144382,132230,131493,116715,216377,269243,310646,186356,99130,81975,70790
16,0400000US19,Iowa,1236409,76474,63657,63600,65899,65344,66122,60143,64876,53283,108108,139750,168910,100945,53925,46153,39220
17,0400000US20,Kansas,1113472,71873,55880,57220,60460,61423,60206,56664,56527,50416,96047,118954,140436,91017,50439,44863,41047
18,0400000US21,Kentucky,1708499,169393,118615,111258,107104,97350,95848,87572,85836,74297,137313,167512,187643,112769,61179,49845,44965
19,0400000US22,Louisiana,1727919,177658,118936,114567,105117,94858,93013,80587,78503,69667,125217,154956,188830,126367,71409,67770,60464
20,0400000US23,Maine,553284,38574,35182,32906,31730,31652,31618,26805,26780,24562,46623,58273,70627,40888,21433,18808,16823
21,0400000US24,Maryland,2166389,110926,71461,72143,77057,75241,81026,74896,81390,74496,157046,213134,289546,229524,164688,194589,199226
22,0400000US25,Massachusetts,2549721,155390,131036,112477,104837,94682,101420,90173,91231,84736,171752,231208,317568,252550,177324,206541,226796
23,0400000US26,Michigan,3841148,308959,209973,221352,219360,206748,213820,193091,191095,169750,315267,393422,457326,289731,164120,154454,132680
24,0400000US27,Minnesota,2124745,115278,91552,93858,98081,92597,96128,93030,95796,86530,172111,230724,299651,203565,123159,121202,111483
25,0400000US28,Mississippi,1096593,125220,84452,81465,71848,67345,64507,56773,56194,45248,85315,100916,109937,63375,32706,27664,23628
26,0400000US29,Missouri,2364688,183869,136992,136028,140118,132724,136105,123696,123129,105015,199672,241259,278977,168941,93608,88357,76198
27,0400000US30,Montana,409394,29379,25359,24215,26394,23976,23974,22360,20996,17793,34233,43733,48098,29180,15377,12272,12055
28,0400000US31,Nebraska,736613,44581,37043,37401,40976,38180,39958,36767,36598,33871,64571,80927,96735,62360,32377,28837,25431
29,0400000US32,Nevada,1016709,66541,48500,51516,56457,55028,57802,51904,52465,48711,87159,111491,127702,78370,45952,41743,35368
30,0400000US33,New Hampshire,520251,21873,20790,21085,22540,21427,22521,21134,22535,19756,39447,55520,74640,54965,33938,36420,31660
31,0400000US34,New Jersey,3189486,175687,120837,130134,129801,121724,125809,114714,115551,105841,216015,288976,399593,323754,223763,276465,320822
32,0400000US35,New Mexico,763603,75094,50143,48276,49173,43068,42270,36829,37198,33412,57798,71269,85925,51417,30070,28729,22932
33,0400000US36,New York,7262279,569147,379134,362791,350778,320984,320038,294923,294149,259526,510817,678223,863158,634452,408076,468997,547086
34,0400000US37,North Carolina,3775581,302888,235085,226204,225510,220233,221513,196023,192632,171131,307842,367980,426708,259574,145626,140708,135924
35,0400000US38,North Dakota,299638,18826,14350,12802,15061,14384,15389,14101,14912,12532,22984,32506,41610,27368,15473,13659,13681
36,0400000US39,Ohio,4585084,372320,257489,264002,263909,246136,254509,230658,226972,197727,377099,470354,550260,345114,193551,179401,155583
37,0400000US40,Oklahoma,1455321,116153,89253,87246,89029,83610,84694,77100,74571,64657,122996,150043,167149,102368,53318,48122,45012
38,0400000US41,Oregon,1533430,112551,81573,86102,84305,82653,81517,76170,76902,65775,124834,160170,192015,119929,68906,61962,58066
39,0400000US42,Pennsylvania,4958859,343017,264879,268116,261337,254071,254354,229315,233860,207589,403539,508901,619923,406185,238450,237241,228082
40,0400000US44,Rhode Island,410602,32277,22777,20447,20302,18336,18944,17104,17406,15589,29918,39227,52869,36091,23630,24479,21206
41,0400000US45,South Carolina,1815094,160030,116567,112481,113343,106166,103562,95753,91524,79090,148502,180498,204041,123026,67800,60171,52540
42,0400000US46,South Dakota,330858,20406,18403,16691,18746,18259,18726,17941,16949,16035,28641,36817,45058,25052,12355,10046,10733
43,0400000US47,Tennessee,2504556,214261,158757,158314,158693,148755,146706,134230,127532,109327,206546,248182,275150,164446,89851,82552,81254
44,0400000US48,Texas,9149196,658087,469798,480097,499771,470105,476663,436072,427713,382519,724264,903827,1075935,748718,447745,463766,484116
45,0400000US49,Utah,906292,44761,34538,35882,41751,40986,42131,41947,42720,40649,81495,109762,135492,85082,47429,43846,37821
46,0400000US50,Vermont,257167,14122,14499,13571,13007,12395,13251,12068,12223,11553,21708,28153,35822,22165,11810,11388,9432
47,0400000US51,Virginia,3062783,176500,125763,125093,129561,128370,131658,127425,128951,116210,231726,299428,390630,291421,191138,220714,248195
48,0400000US53,Washington,2668912,162559,110156,113536,121452,114389,126984,117347,119297,109832,213934,282968,358433,248928,156803,161420,150874
49,0400000US54,West Virginia,740890,74206,51381,52895,51467,44903,42885,38967,37697,33909,59078,70695,79720,44789,23481,19093,15724
50,0400000US55,Wisconsin,2299107,135178,118516,120015,126410,118906,124306,111823,114652,104148,198647,253980,310541,195229,102734,88992,75030
51,0400000US56,Wyoming,226865,10886,10540,10358,11900,10743,11692,10066,10661,10048,18429,24675,32540,23024,13347,10701,7255
