GEO.id,GEO.id2,AREA,POPGROUP.id,ORG,POP_TOT,POP_MALE,POP_M_0_4,POP_M_5_9,POP_M_10_14,POP_M_15_17,POP_M_18_19,POP_M_20,POP_M_21,POP_M_22_24,POP_M_25_29,POP_M_30_34,POP_M_35_39,POP_M_40_44,POP_M_45_49,POP_M_50_54,POP_M_55_59,POP_M_60_61,POP_M_62_64,POP_M_65_66,POP_M_67_69,POP_M_70_74,POP_M_75_79,POP_M_80_84,POP_M_85_150,POP_FEMALE,POP_F_0_4,POP_F_5_9,POP_F_10_14,POP_F_15_17,POP_F_18_19,POP_F_20,POP_F_21,POP_F_22_24,POP_F_25_29,POP_F_30_34,POP_F_35_39,POP_F_40_44,POP_F_45_49,POP_F_50_54,POP_F_55_59,POP_F_60_61,POP_F_62_64,POP_F_65_66,POP_F_67_69,POP_F_70_74,POP_F_75_79,POP_F_80_84,POP_F_85_150
1,0400000US01,Alabama,400,Hispanic or Latino (of any race) (200-299),193492,105019,12884,12064,8430,4270,3463,1715,2001,5161,11366,10628,9374,7012,5263,3618,2697,1100,1082,408,728,715,637,260,143,88473,11169,12143,8390,4015,2893,1349,1296,4186,8027,8005,7384,5071,3948,3271,2261,592,828,526,780,844,678,447,370
1,0400000US01,Alabama,451,"White alone, not Hispanic or Latino",3204989,1566821,85455,91735,97078,60285,39336,22475,22557,61081,96034,94546,90745,107313,110051,119746,113723,42527,61829,38042,51307,63928,45320,30266,21442,1638168,81548,85897,94081,57389,37324,21119,21388,61711,97277,95367,94296,105678,110658,122266,117811,46872,66517,42970,55563,76065,59431,43409,43531
1,0400000US01,Alabama,453,"Black or African American alone, not Hispanic or Latino",1270064,591366,44331,44778,48522,29580,21378,12205,11674,29795,42210,39428,36215,36058,36995,39381,36762,13060,18003,9661,10493,13216,8383,5275,3963,678698,43976,43494,46551,28878,21543,11860,12689,32307,48882,47357,44739,43452,44223,47714,44568,16653,21327,11735,14184,17897,14112,9474,11083
1,0400000US01,Alabama,455,"American Indian and Alaska Native alone, not Hispanic or Latino",22201,10830,485,527,931,682,422,71,148,469,365,607,697,772,764,891,969,411,468,239,202,435,138,57,80,11371,270,656,625,449,197,234,128,346,867,785,805,770,928,1048,983,523,428,288,311,354,165,76,135
1,0400000US01,Alabama,457,"Asian alone, not Hispanic or Latino",58969,27121,1792,1835,1783,1103,821,473,605,1105,2574,2671,2772,2475,1901,1578,1080,395,444,341,429,325,319,186,114,31848,1776,2204,1909,1006,716,455,592,1354,2735,3048,2856,2893,2157,1974,1920,592,955,487,605,688,528,228,170
1,0400000US01,Alabama,459,"Native Hawaiian and Other Pacific Islander alone, not Hispanic or Latino",1579,784,61,44,75,0,0,0,3,62,39,176,73,27,22,71,47,0,12,55,0,17,0,0,0,795,11,20,41,71,16,54,0,9,113,19,66,115,86,52,36,3,52,0,0,0,0,11,20
1,0400000US01,Alabama,461,"Some other race alone, not Hispanic or Latino",5592,2791,320,431,463,191,155,35,111,121,95,204,229,72,35,122,69,15,44,28,20,17,8,6,0,2801,293,442,334,160,53,26,41,188,197,141,188,158,232,111,82,11,73,29,0,2,17,4,19
1,0400000US01,Alabama,463,"Two or more races, not Hispanic or Latino",73734,36361,5532,4966,4314,2196,1378,672,475,1370,2294,1776,1562,1964,1382,1456,1647,528,741,374,397,605,317,202,213,37373,5151,4478,4910,2494,1556,450,535,1343,1717,2042,1886,1698,1677,1751,1694,520,692,437,579,657,440,327,339
2,0400000US02,Alaska,400,Hispanic or Latino (of any race) (200-299),47808,25205,2853,2501,2153,1154,1203,671,739,1770,2667,2181,1634,1327,1202,991,735,315,312,119,212,218,156,80,12,22603,2679,2472,1857,1163,827,550,435,1057,2143,1925,1559,1400,1072,972,848,288,347,224,248,211,99,188,39
2,0400000US02,Alaska,451,"White alone, not Hispanic or Latino",457470,243554,14106,13240,13642,8273,5634,4069,3885,12145,20110,18289,15583,15758,16947,20045,20107,7558,9029,5250,5622,6875,3700,2244,1443,213916,13188,12371,12679,7739,4421,2476,3102,8781,16769,15671,13437,14476,15001,17804,18046,6420,7613,4057,5180,5901,3466,2511,2807
2,0400000US02,Alaska,453,"Black or African American alone, not Hispanic or Latino",23755,13709,798,535,956,526,613,379,490,1080,1466,1102,1134,881,877,898,789,289,332,22,128,148,135,86,45,10046,902,830,899,371,232,163,134,402,914,746,717,544,635,709,682,243,189,131,187,114,132,122,48
2,0400000US02,Alaska,455,"American Indian and Alaska Native alone, not Hispanic or Latino",98450,49769,4529,4429,4414,2740,1585,968,879,2727,3945,3359,2902,2608,3087,3318,2503,987,1179,796,594,997,639,373,211,48681,4295,4265,3896,2301,1575,1004,836,2408,4160,3048,2886,2237,3090,3178,2915,949,1210,831,865,1079,728,515,410
