Depression_Type,Age_Cat,Sex,IP_Ratio,FirstQ,SecondQ,ThirdQ,FourthQ
None,Age_18_44,Male,IP_0_50,0,1,3,6
None,Age_18_44,Male,IP_50_100,0,1,3,6
None,Age_18_44,Male,IP_100_150,0,1,2,5
None,Age_18_44,Male,IP_150_200,0,1,2,4
None,Age_18_44,Male,IP_200_250,0,1,2,5
None,Age_18_44,Male,IP_250_300,0,1,2,5
None,Age_18_44,Male,IP_300_350,0,0,2,4
None,Age_18_44,Male,IP_350_400,0,0,2,5
None,Age_18_44,Male,IP_400_450,0,0,2,3
None,Age_18_44,Male,IP_450_500,0,1,2,5
None,Age_18_44,Male,IP_500_,0,0,2,4
None,Age_18_44,Female,IP_0_50,0,1,4,8
None,Age_18_44,Female,IP_50_100,0,1,3,7
None,Age_18_44,Female,IP_100_150,0,1,3,6
None,Age_18_44,Female,IP_150_200,0,1,3,6
None,Age_18_44,Female,IP_200_250,0,1,3,6
None,Age_18_44,Female,IP_250_300,0,1,3,6
None,Age_18_44,Female,IP_300_350,0,1,3,6
None,Age_18_44,Female,IP_350_400,0,1,3,6
None,Age_18_44,Female,IP_400_450,0,1,2,5
None,Age_18_44,Female,IP_450_500,0,1,2,6
None,Age_18_44,Female,IP_500_,0,1,2,5
None,Age_45_64,Male,IP_0_50,0,0,2,7
None,Age_45_64,Male,IP_50_100,0,0,2,6
None,Age_45_64,Male,IP_100_150,0,1,2,6
None,Age_45_64,Male,IP_150_200,0,1,3,7
None,Age_45_64,Male,IP_200_250,0,0,2,5
None,Age_45_64,Male,IP_250_300,0,1,3,6
None,Age_45_64,Male,IP_300_350,0,0,1,4
None,Age_45_64,Male,IP_350_400,0,0,2,5
None,Age_45_64,Male,IP_400_450,0,1,2,6
None,Age_45_64,Male,IP_450_500,0,1,2,4
None,Age_45_64,Male,IP_500_,0,0,1,3
None,Age_45_64,Female,IP_0_50,0,2,5,9
None,Age_45_64,Female,IP_50_100,0,2,4,8
None,Age_45_64,Female,IP_100_150,0,1,3,8
None,Age_45_64,Female,IP_150_200,0,1,3,8
None,Age_45_64,Female,IP_200_250,0,1,3,7
None,Age_45_64,Female,IP_250_300,0,1,3,7
None,Age_45_64,Female,IP_300_350,0,1,2,6
None,Age_45_64,Female,IP_350_400,0,1,2,7
None,Age_45_64,Female,IP_400_450,0,1,3,6
None,Age_45_64,Female,IP_450_500,0,1,3,6
None,Age_45_64,Female,IP_500_,0,1,2,4
None,Age_65_,Male,IP_0_50,0,0,2,6
None,Age_65_,Male,IP_50_100,0,0,3,5
None,Age_65_,Male,IP_100_150,0,0,2,5
None,Age_65_,Male,IP_150_200,0,0,1,4
None,Age_65_,Male,IP_200_250,0,0,1,4
None,Age_65_,Male,IP_250_300,0,0,1,3
None,Age_65_,Male,IP_300_350,0,0,1,4
None,Age_65_,Male,IP_350_400,0,0,1,4
None,Age_65_,Male,IP_400_450,0,0,2,4
None,Age_65_,Male,IP_450_500,0,0,1,5
None,Age_65_,Male,IP_500_,0,0,1,4
None,Age_65_,Female,IP_0_50,0,1,4,9
None,Age_65_,Female,IP_50_100,0,1,3,6
None,Age_65_,Female,IP_100_150,0,1,3,6
None,Age_65_,Female,IP_150_200,0,1,3,6
None,Age_65_,Female,IP_200_250,0,1,2,5
None,Age_65_,Female,IP_250_300,0,1,2,5
None,Age_65_,Female,IP_300_350,0,1,3,6
None,Age_65_,Female,IP_350_400,0,1,2,5
None,Age_65_,Female,IP_400_450,0,1,2,5
None,Age_65_,Female,IP_450_500,0,1,2,5
None,Age_65_,Female,IP_500_,0,1,2,5
Other,Age_18_44,Male,IP_0_50,6,7,9,12
Other,Age_18_44,Male,IP_50_100,6,9,10,13
Other,Age_18_44,Male,IP_100_150,7,8,10,12
Other,Age_18_44,Male,IP_150_200,6,8,9,13
Other,Age_18_44,Male,IP_200_250,6,8,9,12
Other,Age_18_44,Male,IP_250_300,7,8,9,12
Other,Age_18_44,Male,IP_300_350,6,7,8,11
Other,Age_18_44,Male,IP_350_400,5,7,8,10
Other,Age_18_44,Male,IP_400_450,10,10,12,12
Other,Age_18_44,Male,IP_450_500,7,7,7,7
Other,Age_18_44,Male,IP_500_,6,8,10,14
Other,Age_18_44,Female,IP_0_50,6,9,11,13
Other,Age_18_44,Female,IP_50_100,7,10,12,15
Other,Age_18_44,Female,IP_100_150,6,8,10,13
Other,Age_18_44,Female,IP_150_200,7,10,11,13
Other,Age_18_44,Female,IP_200_250,7,9,12,13
Other,Age_18_44,Female,IP_250_300,6,7,10,11
Other,Age_18_44,Female,IP_300_350,6,7,10,14
Other,Age_18_44,Female,IP_350_400,8,10,10,13
Other,Age_18_44,Female,IP_400_450,11,11,12,12
Other,Age_18_44,Female,IP_450_500,8,9,13,15
Other,Age_18_44,Female,IP_500_,6,8,11,12
Other,Age_45_64,Male,IP_0_50,6,9,11,13
Other,Age_45_64,Male,IP_50_100,5,8,12,14
Other,Age_45_64,Male,IP_100_150,6,8,10,12
Other,Age_45_64,Male,IP_150_200,6,7,9,11
Other,Age_45_64,Male,IP_200_250,7,8,10,14
Other,Age_45_64,Male,IP_250_300,5,9,13,14
Other,Age_45_64,Male,IP_300_350,5,6,8,12
Other,Age_45_64,Male,IP_350_400,4,9,9,14
Other,Age_45_64,Male,IP_400_450,6,10,10,15
Other,Age_45_64,Male,IP_450_500,6,10,10,10
Other,Age_45_64,Male,IP_500_,7,8,9,9
Other,Age_45_64,Female,IP_0_50,6,9,11,15
Other,Age_45_64,Female,IP_50_100,7,9,12,14
Other,Age_45_64,Female,IP_100_150,8,9,11,13
Other,Age_45_64,Female,IP_150_200,4,9,12,14
Other,Age_45_64,Female,IP_200_250,5,6,8,14
Other,Age_45_64,Female,IP_250_300,6,12,14,18
Other,Age_45_64,Female,IP_300_350,9,9,11,11
Other,Age_45_64,Female,IP_350_400,4,6,7,16
Other,Age_45_64,Female,IP_400_450,7,9,11,12
Other,Age_45_64,Female,IP_450_500,6,8,10,12
Other,Age_45_64,Female,IP_500_,8,9,11,12
Other,Age_65_,Male,IP_0_50,7,7,9,11
Other,Age_65_,Male,IP_50_100,6,8,9,13
Other,Age_65_,Male,IP_100_150,6,8,10,12
Other,Age_65_,Male,IP_150_200,6,7,9,10
Other,Age_65_,Male,IP_200_250,6,9,10,13
Other,Age_65_,Male,IP_250_300,5,6,12,15
Other,Age_65_,Male,IP_300_350,6,8,9,10
Other,Age_65_,Male,IP_350_400,4,6,10,10
Other,Age_65_,Male,IP_400_450,6,7,8,10
Other,Age_65_,Male,IP_450_500,8,8,9,12
Other,Age_65_,Male,IP_500_,6,7,8,9
Other,Age_65_,Female,IP_0_50,6,6,9,14
Other,Age_65_,Female,IP_50_100,6,8,11,14
Other,Age_65_,Female,IP_100_150,5,8,11,13
Other,Age_65_,Female,IP_150_200,6,7,10,13
Other,Age_65_,Female,IP_200_250,7,9,11,14
Other,Age_65_,Female,IP_250_300,5,7,9,12
Other,Age_65_,Female,IP_300_350,7,9,9,11
Other,Age_65_,Female,IP_350_400,8,8,8,12
Other,Age_65_,Female,IP_400_450,5,6,6,8
Other,Age_65_,Female,IP_450_500,7,11,12,12
Other,Age_65_,Female,IP_500_,8,9,10,12
Major,Age_18_44,Male,IP_0_50,12,16,19,25
Major,Age_18_44,Male,IP_50_100,14,18,20,24
Major,Age_18_44,Male,IP_100_150,14,16,18,21
Major,Age_18_44,Male,IP_150_200,13,16,17,23
Major,Age_18_44,Male,IP_200_250,13,14,17,24
Major,Age_18_44,Male,IP_250_300,14,14,16,21
Major,Age_18_44,Male,IP_300_350,16,16,22,22
Major,Age_18_44,Male,IP_350_400,13,14,21,21
Major,Age_18_44,Male,IP_400_450,12,14,21,21
Major,Age_18_44,Male,IP_450_500,15,15,18,18
Major,Age_18_44,Male,IP_500_,13,14,16,17
Major,Age_18_44,Female,IP_0_50,14,15,18,21
Major,Age_18_44,Female,IP_50_100,14,17,19,24
Major,Age_18_44,Female,IP_100_150,14,17,18,22
Major,Age_18_44,Female,IP_150_200,14,15,18,21
Major,Age_18_44,Female,IP_200_250,13,13,17,20
Major,Age_18_44,Female,IP_250_300,12,16,17,19
Major,Age_18_44,Female,IP_300_350,13,13,13,13
Major,Age_18_44,Female,IP_350_400,14,14,15,17
Major,Age_18_44,Female,IP_400_450,16,17,18,19
Major,Age_18_44,Female,IP_450_500,13,15,17,19
Major,Age_18_44,Female,IP_500_,12,15,17,20
Major,Age_45_64,Male,IP_0_50,14,16,18,25
Major,Age_45_64,Male,IP_50_100,13,15,19,22
Major,Age_45_64,Male,IP_100_150,13,14,17,21
Major,Age_45_64,Male,IP_150_200,11,17,21,24
Major,Age_45_64,Male,IP_200_250,18,18,21,25
Major,Age_45_64,Male,IP_250_300,15,15,18,19
Major,Age_45_64,Male,IP_300_350,15,15,17,18
Major,Age_45_64,Male,IP_350_400,17,18,18,18
Major,Age_45_64,Male,IP_400_450,22,22,22,22
Major,Age_45_64,Male,IP_450_500,13,13,13,19
Major,Age_45_64,Male,IP_500_,14,16,19,21
Major,Age_45_64,Female,IP_0_50,15,16,19,20
Major,Age_45_64,Female,IP_50_100,13,16,18,22
Major,Age_45_64,Female,IP_100_150,14,16,18,24
Major,Age_45_64,Female,IP_150_200,12,14,17,22
Major,Age_45_64,Female,IP_200_250,15,16,17,19
Major,Age_45_64,Female,IP_250_300,12,14,15,22
Major,Age_45_64,Female,IP_300_350,14,18,19,20
Major,Age_45_64,Female,IP_350_400,14,14,14,22
Major,Age_45_64,Female,IP_400_450,26,26,26,26
Major,Age_45_64,Female,IP_450_500,13,15,15,24
Major,Age_45_64,Female,IP_500_,13,18,22,27
Major,Age_65_,Male,IP_0_50,17,17,22,24
Major,Age_65_,Male,IP_50_100,16,17,18,20
Major,Age_65_,Male,IP_100_150,14,16,18,20
Major,Age_65_,Male,IP_150_200,14,14,16,18
Major,Age_65_,Male,IP_200_250,14,18,18,18
Major,Age_65_,Male,IP_250_300,17,17,17,17
Major,Age_65_,Male,IP_300_350,23,23,23,23
Major,Age_65_,Male,IP_350_400,14,20,24,24
Major,Age_65_,Male,IP_400_450,20,20,20,21
Major,Age_65_,Female,IP_0_50,15,17,17,19
Major,Age_65_,Female,IP_50_100,13,14,18,20
Major,Age_65_,Female,IP_100_150,13,14,21,22
Major,Age_65_,Female,IP_150_200,13,13,17,22
Major,Age_65_,Female,IP_200_250,15,17,17,21
Major,Age_65_,Female,IP_250_300,16,19,19,19
Major,Age_65_,Female,IP_300_350,11,18,22,22
Major,Age_65_,Female,IP_350_400,16,16,16,16
Major,Age_65_,Female,IP_500_,15,16,16,20
