SERIALNO,ADJINC,PUMA10,NP,HHT,HINCP,NRC
2011000000058,1073094,-0009,01,6,000079800,00
2011000000474,1073094,-0009,01,6,000026000,00
2011000000561,1073094,-0009,01,,,
2011000000927,1073094,-0009,01,,,
2011000001212,1073094,-0009,01,4,000012000,00
2011000002443,1073094,-0009,02,1,000153100,00
2011000002688,1073094,-0009,01,4,000024000,00
2011000002827,1073094,-0009,02,2,000008400,01
2011000003381,1073094,-0009,02,5,000971600,00
2011000003451,1073094,-0009,01,,,
2011000003754,1073094,-0009,03,7,000108000,00
2011000004509,1073094,-0009,02,3,000051000,01
2011000004589,1073094,-0009,02,1,000213100,00
2011000004714,1073094,-0009,02,5,000037000,00
2011000004885,1073094,-0009,02,5,000105000,00
2011000005478,1073094,-0009,01,,,
2011000005486,1073094,-0009,02,3,000070000,00
2011000005780,1073094,-0009,02,3,000030300,00
2011000006046,1073094,-0009,01,6,000074200,00
2011000006328,1073094,-0009,02,1,000222000,00
2011000007935,1073094,-0009,02,5,000127000,00
2011000007958,1073094,-0009,02,3,000014700,00
2011000008535,1073094,-0009,01,,,
2011000008566,1073094,-0009,01,4,000080000,00
2011000008713,1073094,-0009,03,1,000698100,00
2011000009107,1073094,-0009,00,,,
2011000009370,1073094,-0009,02,1,000129000,00
2011000010162,1073094,-0009,02,7,000104700,00
2011000010560,1073094,-0009,01,4,000023000,00
2011000010825,1073094,-0009,02,1,000070000,00
2011000011056,1073094,-0009,02,3,000110000,00
2011000011627,1073094,-0009,01,4,000016800,00
2011000011729,1073094,-0009,00,,,
2011000011853,1073094,-0009,07,3,000068190,03
2011000012645,1073094,-0009,01,4,000038300,00
2011000013056,1073094,-0009,01,6,000100000,00
2011000013349,1073094,-0009,01,6,000008500,00
2011000013578,1073094,-0009,02,3,000096000,00
2011000013832,1073094,-0009,01,6,000083000,00
2011000014596,1073094,-0009,03,1,001183400,01
2011000014846,1073094,-0009,01,4,000015000,00
2011000015532,1073094,-0009,04,2,000044800,01
2011000016341,1073094,-0009,03,1,000093800,00
2011000016756,1073094,-0009,01,6,000055000,00
2011000016842,1073094,-0009,03,3,000030800,00
2011000017202,1073094,-0009,01,6,000036000,00
2011000017466,1073094,-0009,01,,,
2011000017507,1073094,-0009,01,,,
2011000017510,1073094,-0009,01,6,000010200,00
2011000018677,1073094,-0009,01,,,
2011000018726,1073094,-0009,01,6,000008200,00
2011000019174,1073094,-0009,01,6,000052000,00
2011000021186,1073094,-0009,02,2,000015000,00
2011000021187,1073094,-0009,01,6,000140000,00
2011000022761,1073094,-0009,04,1,000325000,02
2011000023795,1073094,-0009,03,3,000098000,00
2011000023799,1073094,-0009,01,,,
2011000024115,1073094,-0009,01,6,000152000,00
2011000024136,1073094,-0009,02,1,000078000,00
2011000025286,1073094,-0009,03,1,000031000,01
2011000025376,1073094,-0009,02,1,000093020,00
2011000025544,1073094,-0009,05,1,000056000,03
2011000025891,1073094,-0009,01,6,000032000,00
2011000025976,1073094,-0009,02,3,000154390,00
2011000027079,1073094,-0009,01,6,000018000,00
2011000028610,1073094,-0009,01,4,000000000,00
2011000028673,1073094,-0009,02,1,000206070,00
2011000029360,1073094,-0009,01,,,
2011000029824,1073094,-0009,02,1,000043500,00
2011000030736,1073094,-0009,01,4,000006000,00
2011000031440,1073094,-0009,01,6,000008400,00
2011000032328,1073094,-0009,01,4,000014800,00
2011000032389,1073094,-0009,01,4,000065000,00
2011000032431,1073094,-0009,02,5,000165000,00
2011000032433,1073094,-0009,02,1,000105200,00
2011000032572,1073094,-0009,03,3,000003940,02
2011000032964,1073094,-0009,01,6,000062000,00
2011000034669,1073094,-0009,01,6,000000000,00
2011000035257,1073094,-0009,05,2,000026500,03
2011000035798,1073094,-0009,01,4,000096300,00
2011000036037,1073094,-0009,01,6,000112500,00
2011000036245,1073094,-0009,01,6,000051700,00
2011000036328,1073094,-0009,02,1,000393300,00
2011000037483,1073094,-0009,00,,,
2011000037779,1073094,-0009,01,,,
2011000037920,1073094,-0009,01,6,000040300,00
2011000037987,1073094,-0009,01,,,
2011000038742,1073094,-0009,01,4,000126000,00
2011000038962,1073094,-0009,03,1,000381100,00
2011000038989,1073094,-0009,01,4,000036700,00
2011000039435,1073094,-0009,01,6,000008300,00
2011000039654,1073094,-0009,01,4,000040000,00
2011000039785,1073094,-0009,01,4,000607000,00
2011000040113,1073094,-0009,01,,,
2011000040158,1073094,-0009,02,1,000058800,00
2011000040254,1073094,-0009,02,1,000223000,00
2011000040349,1073094,-0009,01,4,000004400,00
2011000040477,1073094,-0009,01,,,
2011000040548,1073094,-0009,02,7,000128000,00
2011000040625,1073094,-0009,00,,,
2011000040647,1073094,-0009,00,,,
2011000040998,1073094,-0009,01,4,000108240,00
2011000041285,1073094,-0009,01,4,000017600,00
2011000041593,1073094,-0009,01,4,000023200,00
2011000042739,1073094,-0009,01,6,000010120,00
2011000042820,1073094,-0009,00,,,
