SERIALNO,ADJINC,AGEP,SEX,HISP,RAC1P,SCHL,MAR,PINCP,PUMA10
2011000000058,1073094,70,2,01,1,21,2,000079800,-0009
2011000000474,1073094,26,2,01,2,17,5,000026000,-0009
2011000000561,1073094,58,1,01,2,19,4,000012000,-0009
2011000000927,1073094,19,2,01,1,18,5,000000000,-0009
2011000001212,1073094,71,1,01,2,11,2,000012000,-0009
2011000002443,1073094,37,1,01,1,22,1,000095100,-0009
2011000002443,1073094,32,2,01,1,20,1,000058000,-0009
2011000002688,1073094,50,1,01,2,21,5,000024000,-0009
2011000002827,1073094,28,1,11,8,05,5,000008400,-0009
2011000002827,1073094,02,1,11,8,,5,,-0009
2011000003381,1073094,48,1,01,1,22,5,000100000,-0009
2011000003381,1073094,58,1,01,1,21,3,000871600,-0009
2011000003451,1073094,46,1,01,2,01,5,000010800,-0009
2011000003754,1073094,27,2,19,1,22,5,000009000,-0009
2011000003754,1073094,34,2,01,1,22,3,000054000,-0009
2011000003754,1073094,27,2,01,1,21,5,000045000,-0009
2011000004509,1073094,32,2,01,2,19,5,000051000,-0009
2011000004509,1073094,00,1,01,2,,5,,-0009
2011000004589,1073094,53,2,01,1,22,1,000123000,-0009
2011000004589,1073094,52,1,01,1,22,1,000090100,-0009
2011000004714,1073094,58,1,01,2,16,3,000037000,-0009
2011000004714,1073094,62,2,01,2,21,4,000000000,-0009
2011000004885,1073094,28,1,01,1,21,5,000040000,-0009
2011000004885,1073094,26,1,01,1,21,5,000065000,-0009
2011000005478,1073094,18,1,01,1,19,5,000000000,-0009
2011000005486,1073094,25,2,01,1,21,5,000040000,-0009
2011000005486,1073094,27,1,01,1,21,5,000030000,-0009
2011000005780,1073094,74,2,01,2,12,5,000025800,-0009
2011000005780,1073094,36,2,01,2,16,5,000004500,-0009
2011000006046,1073094,78,2,01,1,19,2,000074200,-0009
2011000006328,1073094,71,2,01,1,22,1,000080000,-0009
2011000006328,1073094,72,1,01,1,24,1,000142000,-0009
2011000007935,1073094,31,1,01,1,22,5,000065000,-0009
2011000007935,1073094,39,1,01,1,23,3,000062000,-0009
2011000007958,1073094,67,2,01,2,16,3,000007700,-0009
2011000007958,1073094,24,1,01,2,16,5,000007000,-0009
2011000008535,1073094,44,1,01,2,17,5,000000000,-0009
2011000008566,1073094,41,1,01,2,21,3,000080000,-0009
2011000008713,1073094,88,1,01,1,23,1,000343400,-0009
2011000008713,1073094,84,2,01,1,21,1,000333100,-0009
2011000008713,1073094,22,1,01,1,18,5,000021600,-0009
2011000009370,1073094,39,2,01,6,22,1,000082000,-0009
2011000009370,1073094,34,1,17,1,22,1,000047000,-0009
2011000010162,1073094,26,2,01,2,22,5,000054700,-0009
2011000010162,1073094,29,2,01,9,22,5,000050000,-0009
2011000010560,1073094,46,1,01,2,16,5,000023000,-0009
2011000010825,1073094,51,1,01,1,20,1,000055000,-0009
2011000010825,1073094,47,2,01,1,22,1,000015000,-0009
2011000011056,1073094,53,2,01,2,20,3,000110000,-0009
2011000011056,1073094,28,1,01,2,17,5,000000000,-0009
2011000011627,1073094,78,1,01,2,16,2,000016800,-0009
2011000011853,1073094,47,2,01,2,16,5,000053390,-0009
2011000011853,1073094,24,1,01,2,16,5,000010000,-0009
2011000011853,1073094,20,1,01,2,16,5,000000000,-0009
2011000011853,1073094,17,1,01,2,13,5,000000000,-0009
2011000011853,1073094,13,1,01,2,11,5,,-0009
2011000011853,1073094,12,2,01,2,09,5,,-0009
2011000011853,1073094,65,2,01,2,12,5,000004800,-0009
2011000012645,1073094,61,1,01,2,16,5,000038300,-0009
2011000013056,1073094,41,2,01,1,22,5,000100000,-0009
2011000013349,1073094,64,2,01,1,21,2,000008500,-0009
2011000013578,1073094,71,2,01,9,22,4,000046000,-0009
2011000013578,1073094,28,1,01,9,21,5,000050000,-0009
2011000013832,1073094,52,2,01,1,21,5,000083000,-0009
2011000014596,1073094,43,2,01,1,22,1,000139400,-0009
2011000014596,1073094,40,1,01,1,21,1,001044000,-0009
2011000014596,1073094,09,1,01,1,05,5,,-0009
2011000014846,1073094,25,1,01,6,23,5,000015000,-0009
2011000015532,1073094,90,1,01,2,17,2,000037800,-0009
2011000015532,1073094,52,2,01,9,17,2,000000000,-0009
2011000015532,1073094,06,1,01,9,03,5,,-0009
2011000015532,1073094,68,1,01,2,16,3,000007000,-0009
2011000016341,1073094,72,1,01,2,19,1,000042700,-0009
2011000016341,1073094,73,2,01,2,16,1,000040800,-0009
2011000016341,1073094,60,2,01,2,19,5,000010300,-0009
2011000016756,1073094,45,2,01,2,18,5,000055000,-0009
2011000016842,1073094,78,2,01,2,15,2,000016000,-0009
2011000016842,1073094,59,2,01,2,20,4,000006100,-0009
2011000016842,1073094,46,1,01,2,15,5,000008700,-0009
2011000017202,1073094,72,2,01,2,16,2,000036000,-0009
2011000017466,1073094,21,1,01,1,16,5,000024000,-0009
2011000017507,1073094,20,2,01,6,19,5,000000000,-0009
2011000017510,1073094,82,2,01,2,16,2,000010200,-0009
2011000018677,1073094,18,1,01,6,18,5,000000000,-0009
2011000018726,1073094,89,2,01,9,19,2,000008200,-0009
2011000019174,1073094,89,2,01,1,16,2,000052000,-0009
2011000021186,1073094,31,1,01,2,16,5,000000000,-0009
2011000021186,1073094,81,2,01,2,12,2,000015000,-0009
2011000021187,1073094,41,2,01,1,22,5,000140000,-0009
2011000022761,1073094,36,1,01,1,23,1,000215000,-0009
2011000022761,1073094,36,2,01,6,22,1,000110000,-0009
2011000022761,1073094,06,2,01,9,04,5,,-0009
2011000022761,1073094,04,1,01,9,02,5,,-0009
2011000023795,1073094,52,2,01,2,16,5,000045000,-0009
2011000023795,1073094,27,1,01,2,21,5,000053000,-0009
2011000023795,1073094,59,1,01,2,16,5,000000000,-0009
2011000023799,1073094,19,1,01,1,18,5,000006000,-0009
2011000024115,1073094,33,2,01,2,21,5,000152000,-0009
2011000024136,1073094,38,1,01,2,18,1,000038000,-0009
2011000024136,1073094,37,2,01,2,19,1,000040000,-0009
2011000025286,1073094,24,1,01,6,18,1,000031000,-0009
2011000025286,1073094,23,2,01,6,16,1,000000000,-0009
2011000025286,1073094,01,1,01,6,,5,,-0009
2011000025376,1073094,65,1,01,1,22,1,000084020,-0009
2011000025376,1073094,65,2,01,1,21,1,000009000,-0009
2011000025544,1073094,43,2,01,2,16,1,000034000,-0009
2011000025544,1073094,55,1,01,2,16,1,000022000,-0009
2011000025544,1073094,17,2,01,2,16,5,000000000,-0009
2011000025544,1073094,14,2,01,2,11,5,,-0009
2011000025544,1073094,05,2,01,2,03,5,,-0009
2011000025891,1073094,47,2,01,2,22,5,000032000,-0009
2011000025976,1073094,74,2,01,2,14,2,000039390,-0009
2011000025976,1073094,49,1,01,2,21,3,000115000,-0009
2011000027079,1073094,67,2,01,2,16,5,000018000,-0009
2011000028610,1073094,26,1,01,1,21,5,000000000,-0009
2011000028673,1073094,47,2,01,1,22,1,000136070,-0009
2011000028673,1073094,46,1,01,1,21,1,000070000,-0009
2011000029360,1073094,18,1,01,2,16,5,000012000,-0009
2011000029824,1073094,94,1,01,2,22,1,000036800,-0009
2011000029824,1073094,82,2,01,2,21,1,000006700,-0009
2011000030736,1073094,69,1,01,2,19,5,000006000,-0009
2011000031440,1073094,83,2,01,2,11,4,000008400,-0009
2011000032328,1073094,46,1,01,2,18,5,000014800,-0009
2011000032389,1073094,42,1,01,2,21,4,000065000,-0009
2011000032431,1073094,49,1,01,1,21,5,000037000,-0009
2011000032431,1073094,42,1,19,1,21,5,000128000,-0009
2011000032433,1073094,63,1,01,2,23,1,000030000,-0009
2011000032433,1073094,51,2,01,2,23,1,000075200,-0009
2011000032572,1073094,20,2,01,2,19,5,000003940,-0009
2011000032572,1073094,02,2,01,2,,5,,-0009
2011000032572,1073094,00,1,01,2,,5,,-0009
2011000032964,1073094,27,2,01,1,22,5,000062000,-0009
2011000034669,1073094,24,2,01,6,19,5,000000000,-0009
2011000035257,1073094,24,1,09,2,15,5,000016500,-0009
