Race,Gender,Education,Age,Rf,ll,ul
WhiteNH,Female,HS_or_less,Age_35_44,1,64.09213525,66.1205242
WhiteNH,Female,HS_or_less,Age_35_44,2,63.21428978,67.36036761
WhiteNH,Female,HS_or_less,Age_35_44,3,63.12081375,65.14745949
WhiteNH,Female,HS_or_less,Age_35_44,4,65.32796709,71.14668726
WhiteNH,Female,HS_or_less,Age_35_44,5,40.63070567,42.37987008
WhiteNH,Female,HS_or_less,Age_35_44,6,64.72230237,68.99565733
WhiteNH,Female,HS_or_less,Age_35_44,7,63.17620653,71.32912724
WhiteNH,Female,HS_or_less,Age_35_44,8,38.82551882,40.73843699
WhiteNH,Female,HS_or_less,Age_35_44,9,39.89421661,41.49922071
WhiteNH,Female,HS_or_less,Age_35_44,10,39.4018168,42.51048307
WhiteNH,Female,HS_or_less,Age_35_44,11,67.59371216,73.48194825
WhiteNH,Female,HS_or_less,Age_35_44,12,64.85393259,74.06793548
WhiteNH,Female,HS_or_less,Age_35_44,13,38.64145578,40.48147611
WhiteNH,Female,HS_or_less,Age_35_44,14,37.64711048,42.29900747
WhiteNH,Female,HS_or_less,Age_35_44,15,39.2573633,41.78662108
WhiteNH,Female,HS_or_less,Age_35_44,16,38.12716105,42.28755143
WhiteNH,Female,some_coll_,Age_35_44,1,65.88262729,67.92267404
WhiteNH,Female,some_coll_,Age_35_44,2,65.034886,69.13241328
WhiteNH,Female,some_coll_,Age_35_44,3,64.8998482,66.96106692
WhiteNH,Female,some_coll_,Age_35_44,4,67.02890128,73.03839494
WhiteNH,Female,some_coll_,Age_35_44,5,42.52446082,44.07875682
WhiteNH,Female,some_coll_,Age_35_44,6,66.45634765,70.85425394
WhiteNH,Female,some_coll_,Age_35_44,7,64.95010667,73.14786897
WhiteNH,Female,some_coll_,Age_35_44,8,40.62590137,42.53069633
WhiteNH,Female,some_coll_,Age_35_44,9,41.73951795,43.24656125
WhiteNH,Female,some_coll_,Age_35_44,10,41.21188171,44.29306003
WhiteNH,Female,some_coll_,Age_35_44,11,69.43890889,75.2293934
WhiteNH,Female,some_coll_,Age_35_44,12,66.61456692,75.89994302
WhiteNH,Female,some_coll_,Age_35_44,13,40.4142653,42.30130847
WhiteNH,Female,some_coll_,Age_35_44,14,39.46612642,44.0726334
WhiteNH,Female,some_coll_,Age_35_44,15,41.06340097,43.57322528
WhiteNH,Female,some_coll_,Age_35_44,16,39.7883016,44.21905276
WhiteNH,Female,HS_or_less,Age_45_54,1,64.67335123,66.98583707
WhiteNH,Female,HS_or_less,Age_45_54,2,63.89918609,68.12200015
WhiteNH,Female,HS_or_less,Age_45_54,3,63.5625531,66.15224898
WhiteNH,Female,HS_or_less,Age_45_54,4,66.1078817,71.81330149
WhiteNH,Female,HS_or_less,Age_45_54,5,41.26037012,43.19673448
WhiteNH,Female,HS_or_less,Age_45_54,6,65.33002266,69.83446589
WhiteNH,Female,HS_or_less,Age_45_54,7,64.05360387,71.89825874
WhiteNH,Female,HS_or_less,Age_45_54,8,39.54428932,41.46619534
WhiteNH,Female,HS_or_less,Age_45_54,9,40.59596183,42.24400433
WhiteNH,Female,HS_or_less,Age_45_54,10,40.14122014,43.21760857
WhiteNH,Female,HS_or_less,Age_45_54,11,68.2812191,74.24097016
WhiteNH,Female,HS_or_less,Age_45_54,12,65.44752548,74.92087143
WhiteNH,Female,HS_or_less,Age_45_54,13,39.41385956,41.15560117
WhiteNH,Female,HS_or_less,Age_45_54,14,38.40551102,42.98713576
WhiteNH,Female,HS_or_less,Age_45_54,15,39.86095836,42.62955486
WhiteNH,Female,HS_or_less,Age_45_54,16,38.97281372,42.8884276
WhiteNH,Female,some_coll_,Age_45_54,1,66.51304055,68.73878962
WhiteNH,Female,some_coll_,Age_45_54,2,65.74591514,69.86791298
WhiteNH,Female,some_coll_,Age_45_54,3,65.38813974,67.91930421
WhiteNH,Female,some_coll_,Age_45_54,4,67.82573258,73.68809249
WhiteNH,Female,some_coll_,Age_45_54,5,43.20867688,44.8410696
WhiteNH,Female,some_coll_,Age_45_54,6,67.09115592,71.6659745
WhiteNH,Female,some_coll_,Age_45_54,7,65.84062599,73.70387849
WhiteNH,Female,some_coll_,Age_45_54,8,41.40411553,43.19901101
WhiteNH,Female,some_coll_,Age_45_54,9,42.51449839,43.91810966
WhiteNH,Female,some_coll_,Age_45_54,10,41.98803919,44.96343139
WhiteNH,Female,some_coll_,Age_45_54,11,70.14468667,75.97014446
WhiteNH,Female,some_coll_,Age_45_54,12,67.22069842,76.74034037
WhiteNH,Female,some_coll_,Age_45_54,13,41.24920696,42.91289565
WhiteNH,Female,some_coll_,Age_45_54,14,40.24932172,44.73596694
WhiteNH,Female,some_coll_,Age_45_54,15,41.70683611,44.37631899
WhiteNH,Female,some_coll_,Age_45_54,16,40.65247306,44.80141014
WhiteNH,Female,HS_or_less,Age_55_64,1,65.63219645,68.29505215
