Race,Gender,Education,Age,Rf,ll,ul
WhiteNH,Female,HS_or_less,Age_35_44,1,106.3060083,108.0622222
WhiteNH,Female,HS_or_less,Age_35_44,2,106.4382969,109.0588769
WhiteNH,Female,HS_or_less,Age_35_44,3,131.2745626,133.5130451
WhiteNH,Female,HS_or_less,Age_35_44,4,107.0118145,109.0424672
WhiteNH,Female,HS_or_less,Age_35_44,5,107.6689313,109.7935501
WhiteNH,Female,HS_or_less,Age_35_44,6,132.4795865,136.4616802
WhiteNH,Female,HS_or_less,Age_35_44,7,105.1584094,109.4704
WhiteNH,Female,HS_or_less,Age_35_44,8,106.9123918,109.2546133
WhiteNH,Female,HS_or_less,Age_35_44,9,130.9358797,133.0614
WhiteNH,Female,HS_or_less,Age_35_44,10,107.3935676,111.1485092
WhiteNH,Female,HS_or_less,Age_35_44,11,132.2050818,135.1121488
WhiteNH,Female,HS_or_less,Age_35_44,12,134.9577887,145.3758331
WhiteNH,Female,HS_or_less,Age_35_44,13,131.120476,134.4142323
WhiteNH,Female,HS_or_less,Age_35_44,14,106.4247434,110.6168273
WhiteNH,Female,HS_or_less,Age_35_44,15,132.7866778,137.9545883
WhiteNH,Female,HS_or_less,Age_35_44,16,130.9186249,143.962189
WhiteNH,Female,some_coll_,Age_35_44,1,105.4617419,106.6690301
WhiteNH,Female,some_coll_,Age_35_44,2,105.2754569,107.9842584
WhiteNH,Female,some_coll_,Age_35_44,3,130.4089249,132.1412245
WhiteNH,Female,some_coll_,Age_35_44,4,105.8807475,107.9360758
WhiteNH,Female,some_coll_,Age_35_44,5,106.8221596,108.4028634
WhiteNH,Female,some_coll_,Age_35_44,6,131.5869007,135.1169076
WhiteNH,Female,some_coll_,Age_35_44,7,104.0040023,108.3873487
WhiteNH,Female,some_coll_,Age_35_44,8,105.7584607,108.171086
WhiteNH,Female,some_coll_,Age_35_44,9,130.0476369,131.7121843
WhiteNH,Female,some_coll_,Age_35_44,10,106.385334,109.9192843
WhiteNH,Female,some_coll_,Age_35_44,11,131.2095315,133.8702407
WhiteNH,Female,some_coll_,Age_35_44,12,133.8361716,144.2599918
WhiteNH,Female,some_coll_,Age_35_44,13,130.0855137,133.2117361
WhiteNH,Female,some_coll_,Age_35_44,14,105.3137336,109.4903787
WhiteNH,Female,some_coll_,Age_35_44,15,131.575211,136.9285968
WhiteNH,Female,some_coll_,Age_35_44,16,129.7824747,142.8608808
WhiteNH,Female,HS_or_less,Age_45_54,1,106.9968869,108.8567331
WhiteNH,Female,HS_or_less,Age_45_54,2,107.1783027,109.8042607
WhiteNH,Female,HS_or_less,Age_45_54,3,131.9777357,134.2952616
WhiteNH,Female,HS_or_less,Age_45_54,4,107.6831149,109.8565564
WhiteNH,Female,HS_or_less,Age_45_54,5,108.4509337,110.4969373
WhiteNH,Female,HS_or_less,Age_45_54,6,133.4421853,136.984471
WhiteNH,Female,HS_or_less,Age_45_54,7,106.0540346,110.0601644
WhiteNH,Female,HS_or_less,Age_45_54,8,107.5586883,110.0937065
WhiteNH,Female,HS_or_less,Age_45_54,9,131.749194,133.7334753
WhiteNH,Female,HS_or_less,Age_45_54,10,108.069273,111.9581934
WhiteNH,Female,HS_or_less,Age_45_54,11,132.9140879,135.8885324
WhiteNH,Female,HS_or_less,Age_45_54,12,135.6523428,146.1666687
WhiteNH,Female,HS_or_less,Age_45_54,13,131.8611944,135.1589035
WhiteNH,Female,HS_or_less,Age_45_54,14,107.3025826,111.2243778
WhiteNH,Female,HS_or_less,Age_45_54,15,133.4632889,138.7633669
WhiteNH,Female,HS_or_less,Age_45_54,16,131.793062,144.5731415
WhiteNH,Female,some_coll_,Age_45_54,1,106.0096726,107.6064891
WhiteNH,Female,some_coll_,Age_45_54,2,105.9509901,108.7941149
WhiteNH,Female,some_coll_,Age_45_54,3,131.008002,133.027537
WhiteNH,Female,some_coll_,Age_45_54,4,106.4740115,108.8282014
WhiteNH,Female,some_coll_,Age_45_54,5,107.5054581,109.2049545
WhiteNH,Female,some_coll_,Age_45_54,6,132.5238345,135.6653635
WhiteNH,Female,some_coll_,Age_45_54,7,104.8534797,109.0232609
