Race,Gender,Education,Age,Rf,ll,ul
WhiteNH,Female,HS_or_less,Age_35_44,1,189.9861553,194.8959888
WhiteNH,Female,HS_or_less,Age_35_44,2,188.3810455,197.3846635
WhiteNH,Female,HS_or_less,Age_35_44,3,195.3478743,200.1516785
WhiteNH,Female,HS_or_less,Age_35_44,4,260.3668503,268.0922329
WhiteNH,Female,HS_or_less,Age_35_44,5,176.8134907,183.3797519
WhiteNH,Female,HS_or_less,Age_35_44,6,191.4545065,198.7536979
WhiteNH,Female,HS_or_less,Age_35_44,7,256.6532099,269.8526501
WhiteNH,Female,HS_or_less,Age_35_44,8,180.6911438,189.5712416
WhiteNH,Female,HS_or_less,Age_35_44,9,184.38046,189.7803108
WhiteNH,Female,HS_or_less,Age_35_44,10,260.9734696,271.0027784
WhiteNH,Female,HS_or_less,Age_35_44,11,267.9097375,276.6924933
WhiteNH,Female,HS_or_less,Age_35_44,12,260.4957258,279.4068958
WhiteNH,Female,HS_or_less,Age_35_44,13,184.2499296,191.962956
WhiteNH,Female,HS_or_less,Age_35_44,14,265.094775,279.6033607
WhiteNH,Female,HS_or_less,Age_35_44,15,268.0853475,283.0039754
WhiteNH,Female,HS_or_less,Age_35_44,16,270.3424743,286.3992962
WhiteNH,Female,some_coll_,Age_35_44,1,190.2490491,195.2288098
WhiteNH,Female,some_coll_,Age_35_44,2,188.7017008,197.659723
WhiteNH,Female,some_coll_,Age_35_44,3,195.7346863,200.3605812
WhiteNH,Female,some_coll_,Age_35_44,4,260.4066842,268.6481138
WhiteNH,Female,some_coll_,Age_35_44,5,177.1091902,183.6797671
WhiteNH,Female,some_coll_,Age_35_44,6,191.6980592,199.1058599
WhiteNH,Female,some_coll_,Age_35_44,7,257.1485125,269.9530623
WhiteNH,Female,some_coll_,Age_35_44,8,180.8816302,189.9764701
WhiteNH,Female,some_coll_,Age_35_44,9,184.7852585,189.971227
WhiteNH,Female,some_coll_,Age_35_44,10,261.0146489,271.5573139
WhiteNH,Female,some_coll_,Age_35_44,11,268.2001851,276.9977606
WhiteNH,Female,some_coll_,Age_35_44,12,260.7406219,279.7577144
WhiteNH,Female,some_coll_,Age_35_44,13,184.7348314,192.073769
WhiteNH,Female,some_coll_,Age_35_44,14,265.3733605,279.92049
WhiteNH,Female,some_coll_,Age_35_44,15,267.7917982,283.8932395
WhiteNH,Female,some_coll_,Age_35_44,16,270.4938591,286.8436262
WhiteNH,Female,HS_or_less,Age_45_54,1,193.8234715,198.5720296
WhiteNH,Female,HS_or_less,Age_45_54,2,192.0320867,201.2469793
WhiteNH,Female,HS_or_less,Age_45_54,3,199.1669826,203.8459272
WhiteNH,Female,HS_or_less,Age_45_54,4,263.8343404,272.1380999
WhiteNH,Female,HS_or_less,Age_45_54,5,180.7166201,186.9899794
WhiteNH,Female,HS_or_less,Age_45_54,6,195.4438241,202.2777373
WhiteNH,Female,HS_or_less,Age_45_54,7,260.412591,273.6066261
WhiteNH,Female,HS_or_less,Age_45_54,8,184.4239119,193.3518306
WhiteNH,Female,HS_or_less,Age_45_54,9,188.2212866,193.4528412
WhiteNH,Female,HS_or_less,Age_45_54,10,264.4649662,275.0246389
WhiteNH,Female,HS_or_less,Age_45_54,11,271.4418338,280.673754
WhiteNH,Female,HS_or_less,Age_45_54,12,264.182872,283.2331066
WhiteNH,Female,HS_or_less,Age_45_54,13,187.6605786,196.065664
WhiteNH,Female,HS_or_less,Age_45_54,14,269.4162052,282.7952876
WhiteNH,Female,HS_or_less,Age_45_54,15,271.3703372,287.2323427
WhiteNH,Female,HS_or_less,Age_45_54,16,273.9149256,290.340202
WhiteNH,Female,some_coll_,Age_45_54,1,194.0028858,198.9883301
WhiteNH,Female,some_coll_,Age_45_54,2,192.3084172,201.5663636
WhiteNH,Female,some_coll_,Age_45_54,3,199.4682263,204.1403983
WhiteNH,Female,some_coll_,Age_45_54,4,263.8454306,272.7227245
WhiteNH,Female,some_coll_,Age_45_54,5,180.9485789,187.3537355
WhiteNH,Female,some_coll_,Age_45_54,6,195.6261465,202.6911296
WhiteNH,Female,some_coll_,Age_45_54,7,260.8765224,273.7384094
WhiteNH,Female,some_coll_,Age_45_54,8,184.5710237,193.8004336
WhiteNH,Female,some_coll_,Age_45_54,9,188.5503835,193.7194591
WhiteNH,Female,some_coll_,Age_45_54,10,264.4820453,275.6032745
WhiteNH,Female,some_coll_,Age_45_54,11,271.689197,281.0221057
WhiteNH,Female,some_coll_,Age_45_54,12,264.4071073,283.6045861
WhiteNH,Female,some_coll_,Age_45_54,13,188.0796496,196.2423078
WhiteNH,Female,some_coll_,Age_45_54,14,269.663165,283.1440426
WhiteNH,Female,some_coll_,Age_45_54,15,271.0858479,288.1125468
WhiteNH,Female,some_coll_,Age_45_54,16,274.0454248,290.8054176
WhiteNH,Female,HS_or_less,Age_55_64,1,191.2538765,195.6182733
WhiteNH,Female,HS_or_less,Age_55_64,2,189.8205448,197.9351699
WhiteNH,Female,HS_or_less,Age_55_64,3,196.4139939,201.0755647
WhiteNH,Female,HS_or_less,Age_55_64,4,261.2913783,269.1577107
WhiteNH,Female,HS_or_less,Age_55_64,5,178.012175,184.1710732
WhiteNH,Female,HS_or_less,Age_55_64,6,192.3877719,199.8104382
WhiteNH,Female,HS_or_less,Age_55_64,7,257.9567297,270.539136
WhiteNH,Female,HS_or_less,Age_55_64,8,181.657942,190.5944492
WhiteNH,Female,HS_or_less,Age_55_64,9,185.7310959,190.4196806
WhiteNH,Female,HS_or_less,Age_55_64,10,261.798128,272.1681258
WhiteNH,Female,HS_or_less,Age_55_64,11,269.2096525,277.3825842
WhiteNH,Female,HS_or_less,Age_55_64,12,262.147222,279.7454053
WhiteNH,Female,HS_or_less,Age_55_64,13,185.3296935,192.8731978
WhiteNH,Female,HS_or_less,Age_55_64,14,265.8297494,280.8583921
WhiteNH,Female,HS_or_less,Age_55_64,15,268.9532536,284.126075
WhiteNH,Female,HS_or_less,Age_55_64,16,271.8129217,286.9188546
WhiteNH,Female,some_coll_,Age_55_64,1,191.3947415,196.0731231
WhiteNH,Female,some_coll_,Age_55_64,2,190.0776692,198.2737603
WhiteNH,Female,some_coll_,Age_55_64,3,196.686774,201.3984993
WhiteNH,Female,some_coll_,Age_55_64,4,261.271915,269.7728888
WhiteNH,Female,some_coll_,Age_55_64,5,178.2218142,184.5571489
WhiteNH,Female,some_coll_,Age_55_64,6,192.5615669,200.232358
WhiteNH,Female,some_coll_,Age_55_64,7,258.4180671,270.6735135
WhiteNH,Female,some_coll_,Age_55_64,8,181.7907798,191.0573262
WhiteNH,Female,some_coll_,Age_55_64,9,186.0351668,190.7113245
WhiteNH,Female,some_coll_,Age_55_64,10,261.7981623,272.7638063
WhiteNH,Female,some_coll_,Age_55_64,11,269.4344958,277.7534556
WhiteNH,Female,some_coll_,Age_55_64,12,262.3579281,280.130414
WhiteNH,Female,some_coll_,Age_55_64,13,185.7448048,193.0538013
WhiteNH,Female,some_coll_,Age_55_64,14,266.0734447,281.2104115
WhiteNH,Female,some_coll_,Age_55_64,15,268.636101,285.0389424
WhiteNH,Female,some_coll_,Age_55_64,16,271.9205177,287.4069733
WhiteNH,Female,HS_or_less,Age_65_74,1,183.7180762,188.433497
