Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Htn,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
1,WhiteNH,Male,Age_35_44,HS_or_less,0,26.0403,187.2622221,1.263712039,60.27085039,0.574656452,107.843289,0.453628866,0
2,WhiteNH,Male,Age_35_44,HS_or_less,0,0.23241,189.3632694,2.211982583,60.34541689,0.902062739,108.3405834,0.738737713,1
3,WhiteNH,Male,Age_35_44,HS_or_less,0,17.7465,192.327257,1.229619569,59.9137168,0.660019257,131.9597411,0.574973359,0
4,WhiteNH,Male,Age_35_44,HS_or_less,0,1.57223,256.0804476,1.910068548,63.00673081,1.253749986,108.7609161,0.583977039,0
5,WhiteNH,Male,Age_35_44,HS_or_less,0,48.2108,180.2025878,1.579543618,37.57007433,0.413981382,109.6452631,0.409223055,0
6,WhiteNH,Male,Age_35_44,HS_or_less,0,25.6044,190.1154988,1.876749163,61.89543885,1.037760067,134.1260934,0.909310261,1
7,WhiteNH,Male,Age_35_44,HS_or_less,0,0.0980892,258.2531554,3.670022035,61.05457657,1.984604736,108.5881701,0.937036047,1
8,WhiteNH,Male,Age_35_44,HS_or_less,0,13.705,182.9867288,2.133521782,36.19628948,0.461201923,108.6753868,0.667477393,1
9,WhiteNH,Male,Age_35_44,HS_or_less,0,68.3249,185.5803177,1.288390344,36.91696525,0.451303751,131.2556563,0.468570062,0
10,WhiteNH,Male,Age_35_44,HS_or_less,0,7.27004,259.7081832,2.460245519,36.8260692,0.834211516,109.7062239,0.860474793,0
11,WhiteNH,Male,Age_35_44,HS_or_less,0,7.2914,262.7926914,2.060070685,65.41680017,1.28356774,133.315775,0.756627707,0
12,WhiteNH,Male,Age_35_44,HS_or_less,0,4.12865,263.7760707,3.476506884,64.87377239,2.042202086,140.1150453,2.360240239,1
13,WhiteNH,Male,Age_35_44,HS_or_less,0,29.874,185.4442337,2.164271306,35.56627248,0.591464489,132.7105714,0.824843386,1
