Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
1,WhiteNH,Male,Age_35_44,HS_or_less,22.4598,187.1623324,1.233118601,60.89983672,0.543609528,107.3814291,0.458081145,0
2,WhiteNH,Male,Age_35_44,HS_or_less,13.2286,187.6041149,2.315686076,61.08083569,1.125877124,107.9459007,0.750879048,1
3,WhiteNH,Male,Age_35_44,HS_or_less,26.6839,192.4710368,1.222714623,59.92764362,0.604725669,132.5911177,0.588732062,0
4,WhiteNH,Male,Age_35_44,HS_or_less,4.73954,258.950802,1.988178758,64.03083417,1.458828015,108.2244547,0.611311323,0
5,WhiteNH,Male,Age_35_44,HS_or_less,55.5571,174.8178816,1.410596921,37.29879488,0.459373891,108.9285545,0.465285277,0
6,WhiteNH,Male,Age_35_44,HS_or_less,18.6004,189.8253626,2.047799767,62.65248685,1.037809699,134.6679472,0.958888405,1
7,WhiteNH,Male,Age_35_44,HS_or_less,3.83596,257.9741904,3.498534498,63.04617388,2.077773336,107.5117186,1.092518786,1
8,WhiteNH,Male,Age_35_44,HS_or_less,39.2274,179.8524531,2.133056199,35.57548491,0.490724279,108.2808164,0.649383407,1
9,WhiteNH,Male,Age_35_44,HS_or_less,58.8125,181.8016458,1.308936341,36.49022566,0.451761198,132.1959537,0.546981704,0
10,WhiteNH,Male,Age_35_44,HS_or_less,7.67144,260.7093844,2.426866244,36.74965693,0.80509818,109.4683522,0.943593585,0
11,WhiteNH,Male,Age_35_44,HS_or_less,9.17972,267.0223758,2.150477152,66.3313372,1.377200328,133.8559292,0.812992093,0
12,WhiteNH,Male,Age_35_44,HS_or_less,10.7962,264.6725712,4.404081159,65.25444103,2.221868787,140.3641248,2.605152414,1
13,WhiteNH,Male,Age_35_44,HS_or_less,29.2713,182.8277032,1.884064398,35.35497294,0.455752276,132.964668,0.833409243,1
14,WhiteNH,Male,Age_35_44,HS_or_less,7.58779,267.0703283,3.676785127,35.76656597,1.197684818,108.7180992,1.071844687,1
15,WhiteNH,Male,Age_35_44,HS_or_less,9.27077,270.2659218,3.799994244,36.31549919,0.585269756,135.5679469,1.169045922,0
16,WhiteNH,Male,Age_35_44,HS_or_less,8.33483,273.0921457,3.790212132,36.00086324,1.188414567,137.6377208,3.332743429,1
1,WhiteNH,Male,Age_35_44,some_coll_,81.5402,187.4601898,1.217989245,62.69615766,0.556411352,106.2626999,0.358754999,0
2,WhiteNH,Male,Age_35_44,some_coll_,10.0269,187.9019723,2.287084065,62.87715663,1.119667942,106.8271715,0.783556438,1
3,WhiteNH,Male,Age_35_44,some_coll_,71.3161,192.7688942,1.144389551,61.72396455,0.621010428,131.4723885,0.491408672,0
4,WhiteNH,Male,Age_35_44,some_coll_,15.5136,259.2486594,2.094829228,65.82715511,1.510151777,107.1057255,0.633025016,0
5,WhiteNH,Male,Age_35_44,some_coll_,133.694,175.115739,1.383096365,39.09511581,0.426423267,107.8098253,0.333207087,0
6,WhiteNH,Male,Age_35_44,some_coll_,22.3996,190.12322,2.052584847,64.44880779,1.075069873,133.549218,0.852973542,1
7,WhiteNH,Male,Age_35_44,some_coll_,4.16404,258.2720478,3.393597582,64.84249482,2.091448213,106.3929894,1.119440828,1
8,WhiteNH,Male,Age_35_44,some_coll_,25.7726,180.1503105,2.170530022,37.37180584,0.499981877,107.1620872,0.680707831,1
9,WhiteNH,Male,Age_35_44,some_coll_,126.357,182.0995032,1.221144655,38.2865466,0.442849739,131.0772245,0.458824387,0
10,WhiteNH,Male,Age_35_44,some_coll_,20.3286,261.0072418,2.543707133,38.54597787,0.805384573,108.349623,0.900130475,0
